"r","g","b","a"
236,238,236,1
139,145,97,1
232,225,74,1
159,145,101,1
201,207,217,1
138,141,52,1
147,157,85,1
160,121,58,1
228,222,76,1
78,85,41,1
80,76,74,1
125,132,76,1
244,232,119,1
230,232,232,1
42,40,41,1
160,147,114,1
205,209,217,1
159,123,51,1
66,62,61,1
178,160,97,1
127,127,139,1
219,225,233,1
148,149,65,1
101,97,74,1
234,234,232,1
85,74,48,1
177,183,194,1
57,57,56,1
92,93,61,1
254,254,254,1
232,222,55,1
255,254,254,1
102,107,53,1
109,115,56,1
237,229,81,1
213,215,226,1
161,125,64,1
77,75,64,1
142,149,111,1
193,174,66,1
241,236,146,1
215,216,221,1
145,112,56,1
168,161,141,1
254,255,255,1
253,253,254,1
193,189,164,1
239,227,70,1
42,40,38,1
254,254,254,1
229,216,65,1
225,229,238,1
53,53,59,1
175,180,193,1
239,238,183,1
190,198,90,1
254,254,252,1
170,129,65,1
121,122,114,1
174,145,99,1
111,107,105,1
98,98,86,1
132,136,108,1
242,243,248,1
107,112,103,1
205,211,144,1
77,82,76,1
74,72,48,1
208,211,228,1
127,135,79,1
255,254,247,1
146,152,80,1
250,250,249,1
232,231,229,1
220,223,230,1
181,178,165,1
253,253,253,1
43,42,42,1
96,99,65,1
254,255,254,1
91,91,76,1
185,192,202,1
59,56,47,1
158,164,100,1
83,77,62,1
233,232,116,1
254,254,253,1
254,253,254,1
92,91,81,1
238,228,117,1
114,125,64,1
190,157,107,1
118,116,104,1
114,120,60,1
124,115,90,1
76,75,70,1
225,226,230,1
95,103,58,1
220,215,95,1
73,52,29,1
86,91,57,1
230,232,229,1
225,222,172,1
230,225,81,1
239,233,208,1
135,141,67,1
253,255,254,1
230,234,237,1
106,107,71,1
181,142,68,1
115,98,80,1
107,83,36,1
133,132,125,1
25,24,26,1
120,127,81,1
188,192,94,1
223,225,230,1
236,239,238,1
55,52,49,1
78,76,70,1
116,115,87,1
139,111,62,1
255,254,252,1
74,75,58,1
68,65,58,1
198,203,209,1
190,159,93,1
208,212,216,1
87,88,76,1
240,228,116,1
254,254,251,1
130,139,76,1
173,181,66,1
152,159,92,1
227,228,165,1
235,228,70,1
116,121,66,1
241,241,241,1
202,205,222,1
254,254,254,1
253,253,249,1
183,191,59,1
185,194,202,1
236,226,78,1
121,128,78,1
144,155,82,1
208,212,222,1
147,147,151,1
156,160,159,1
121,132,66,1
235,237,236,1
237,229,81,1
192,196,205,1
177,184,194,1
126,112,96,1
232,225,80,1
234,231,200,1
254,255,255,1
172,164,160,1
133,143,83,1
255,254,254,1
154,156,160,1
194,201,211,1
89,88,80,1
91,85,72,1
194,192,185,1
29,32,39,1
111,112,101,1
129,139,65,1
144,151,74,1
234,233,234,1
83,77,75,1
127,126,123,1
255,254,254,1
206,207,201,1
122,129,77,1
148,148,144,1
254,254,255,1
255,254,254,1
84,82,70,1
134,147,58,1
149,152,160,1
85,86,55,1
101,109,59,1
102,111,59,1
98,98,73,1
142,115,83,1
126,129,52,1
76,73,62,1
145,115,62,1
203,207,216,1
83,83,51,1
66,66,70,1
200,206,215,1
146,153,71,1
70,68,60,1
237,226,123,1
254,254,251,1
240,228,117,1
134,131,117,1
156,161,172,1
132,144,74,1
92,92,55,1
154,161,174,1
61,56,57,1
82,89,49,1
105,103,89,1
82,82,52,1
192,197,200,1
127,138,76,1
74,73,70,1
253,254,249,1
65,61,60,1
187,191,177,1
181,178,165,1
98,104,62,1
127,137,76,1
146,138,107,1
151,164,70,1
211,216,225,1
253,255,255,1
109,108,89,1
203,206,218,1
255,255,254,1
74,77,33,1
132,139,66,1
162,142,70,1
45,34,32,1
132,139,86,1
123,131,70,1
255,254,255,1
137,149,83,1
213,211,79,1
212,216,216,1
255,254,252,1
241,226,101,1
252,253,253,1
91,88,81,1
255,255,253,1
238,226,75,1
255,254,251,1
162,122,53,1
140,150,80,1
234,236,235,1
121,131,68,1
186,192,202,1
253,253,253,1
86,84,97,1
130,140,76,1
129,139,67,1
238,236,246,1
135,146,74,1
223,217,196,1
231,232,235,1
88,86,74,1
100,99,91,1
153,141,105,1
252,252,253,1
131,132,117,1
96,79,63,1
157,115,61,1
71,67,65,1
254,254,254,1
254,254,253,1
223,227,236,1
54,58,28,1
139,149,79,1
1,3,2,1
86,83,72,1
224,228,235,1
115,97,72,1
225,229,224,1
148,109,58,1
254,254,254,1
168,136,78,1
62,61,58,1
162,122,59,1
136,143,76,1
254,254,255,1
252,254,254,1
174,140,62,1
253,253,254,1
67,68,37,1
64,61,69,1
255,255,253,1
91,85,72,1
143,147,90,1
79,77,78,1
198,203,203,1
92,86,71,1
147,153,80,1
70,69,67,1
165,159,138,1
110,118,69,1
122,126,85,1
66,70,35,1
135,145,78,1
156,157,152,1
111,119,77,1
254,254,253,1
193,168,137,1
254,255,255,1
132,142,71,1
64,61,69,1
102,112,52,1
255,254,254,1
253,254,249,1
133,141,92,1
237,238,240,1
121,127,73,1
201,194,106,1
146,107,57,1
81,79,87,1
167,164,100,1
180,158,97,1
236,231,133,1
133,138,148,1
151,150,148,1
237,238,243,1
110,118,71,1
233,235,239,1
226,228,231,1
175,182,195,1
55,51,60,1
255,255,254,1
253,254,254,1
130,134,82,1
129,138,83,1
242,229,125,1
90,95,63,1
52,48,49,1
253,253,253,1
128,135,69,1
119,129,61,1
218,221,223,1
144,145,140,1
253,254,254,1
245,241,163,1
74,70,70,1
95,95,50,1
127,134,80,1
228,219,76,1
156,121,53,1
136,140,88,1
240,239,153,1
90,88,75,1
59,55,57,1
139,145,97,1
246,225,101,1
192,173,139,1
234,233,234,1
170,175,182,1
53,50,40,1
146,108,56,1
163,171,133,1
192,197,70,1
15,16,21,1
95,88,76,1
91,89,77,1
214,219,225,1
254,254,251,1
56,54,45,1
153,151,138,1
137,144,98,1
215,217,217,1
124,134,74,1
219,204,56,1
183,152,65,1
132,139,77,1
138,141,74,1
120,128,67,1
39,33,42,1
146,152,161,1
208,211,216,1
254,254,253,1
105,104,103,1
232,225,149,1
94,95,74,1
160,167,177,1
192,195,199,1
200,201,198,1
104,110,62,1
96,104,55,1
117,105,102,1
71,70,66,1
165,160,56,1
103,112,63,1
239,222,110,1
113,91,38,1
139,147,83,1
203,210,218,1
121,129,66,1
29,29,19,1
229,233,229,1
254,255,251,1
92,92,96,1
225,226,221,1
222,223,226,1
8,10,14,1
161,123,58,1
199,203,214,1
146,157,80,1
235,238,239,1
142,145,69,1
159,120,58,1
235,231,158,1
88,90,95,1
147,112,56,1
252,251,249,1
185,146,71,1
254,254,253,1
127,123,97,1
218,222,231,1
253,253,253,1
45,40,42,1
117,126,77,1
240,228,114,1
188,171,148,1
158,154,77,1
254,255,254,1
144,148,88,1
215,217,194,1
97,96,94,1
124,124,84,1
69,66,60,1
232,226,102,1
69,72,39,1
181,186,96,1
229,228,231,1
135,143,76,1
118,118,120,1
76,73,67,1
236,224,56,1
160,131,46,1
132,143,77,1
157,157,162,1
140,150,86,1
205,212,167,1
164,171,75,1
254,254,254,1
205,212,223,1
230,233,237,1
74,75,57,1
139,149,77,1
237,238,242,1
143,155,85,1
115,124,75,1
221,225,233,1
78,76,48,1
254,254,254,1
154,158,75,1
157,166,84,1
48,46,37,1
58,53,45,1
254,254,254,1
253,254,251,1
88,84,86,1
62,53,42,1
254,255,254,1
43,40,51,1
146,157,81,1
174,163,98,1
237,238,242,1
66,65,44,1
161,166,85,1
98,95,70,1
75,73,63,1
136,144,71,1
239,240,242,1
105,106,72,1
254,254,252,1
233,223,118,1
210,215,102,1
172,135,65,1
255,253,247,1
254,253,254,1
203,205,211,1
148,155,84,1
197,197,177,1
105,114,69,1
137,147,74,1
63,60,54,1
240,240,195,1
51,50,49,1
158,141,120,1
254,254,254,1
254,254,254,1
255,254,254,1
231,224,91,1
131,137,75,1
125,135,74,1
138,148,78,1
138,147,75,1
74,72,77,1
143,110,42,1
239,224,99,1
117,123,79,1
53,52,57,1
254,254,254,1
254,254,254,1
32,34,25,1
134,139,141,1
187,184,94,1
78,85,41,1
143,154,90,1
237,238,240,1
42,44,51,1
77,82,84,1
254,254,254,1
147,153,163,1
170,153,111,1
207,208,200,1
72,75,36,1
86,83,47,1
255,255,254,1
18,18,19,1
237,237,240,1
233,217,101,1
180,163,94,1
254,253,254,1
230,234,237,1
184,146,60,1
157,167,157,1
134,141,70,1
36,33,38,1
237,222,114,1
160,165,85,1
87,86,71,1
83,88,98,1
254,254,254,1
231,219,116,1
