"r","g","b"
136,104,71
200,183,156
79,79,67
165,128,86
55,67,83
122,117,113
240,231,223
95,94,90
184,181,168
213,194,150
125,128,140
183,142,92
137,138,138
254,254,245
252,254,253
185,152,100
251,248,245
254,254,254
254,255,255
121,106,92
146,145,153
90,85,80
70,65,52
252,251,249
227,176,105
192,135,116
255,255,254
253,254,254
141,108,84
67,61,54
72,56,39
147,115,82
45,38,33
253,253,251
106,98,65
246,246,245
206,147,70
95,77,69
207,150,78
209,205,191
88,93,89
106,105,85
249,224,164
175,129,92
22,17,10
170,163,137
230,185,121
253,253,253
96,95,97
102,112,117
221,161,86
144,143,148
100,99,105
138,140,140
184,168,139
120,119,126
248,248,246
94,93,89
83,65,50
107,106,86
62,59,49
123,120,128
253,254,253
254,254,251
131,127,125
68,73,76
254,254,254
201,183,144
21,23,13
166,157,149
117,120,129
229,197,142
254,254,253
254,254,253
212,188,155
147,145,142
154,134,106
107,105,114
254,254,254
126,121,123
85,91,93
113,110,101
140,122,99
254,253,253
162,131,108
113,116,119
57,47,55
253,252,251
64,52,39
114,113,109
233,225,211
135,127,101
136,143,150
91,66,61
97,93,91
252,254,251
252,253,254
153,114,70
255,253,254
252,252,251
89,89,90
94,74,59
136,137,149
243,226,201
87,80,68
253,253,253
198,186,165
63,53,45
91,68,48
252,252,251
115,101,80
253,253,251
199,157,118
136,107,78
121,100,86
255,254,255
116,115,114
253,254,254
255,254,254
55,49,38
176,144,107
191,163,121
145,113,67
36,27,20
251,251,249
188,163,127
184,202,216
94,87,97
85,84,63
152,132,102
42,42,40
89,84,85
104,79,54
245,243,239
84,77,71
100,91,75
238,212,170
115,92,63
132,133,138
60,58,54
117,114,121
44,46,39
206,178,142
141,137,129
104,104,108
64,63,59
72,73,75
211,196,156
120,117,110
39,35,26
127,112,91
196,170,129
209,209,206
155,127,104
103,101,102
81,67,62
93,89,86
255,255,253
252,253,251
69,53,43
90,85,91
180,180,176
94,98,80
20,20,21
54,54,53
87,99,115
131,121,98
166,134,98
252,252,252
184,170,149
75,72,65
69,67,76
169,167,169
182,181,169
133,131,141
104,100,96
115,116,109
255,254,254
30,33,19
241,236,232
218,189,137
83,86,89
254,253,253
64,73,76
118,116,118
124,124,127
45,57,64
54,42,28
168,140,108
195,167,129
81,78,78
112,113,118
136,112,73
254,254,254
88,75,63
252,252,252
93,71,54
253,253,251
60,57,52
104,94,84
81,77,65
67,56,41
254,255,255
148,152,153
249,251,253
165,115,81
245,245,244
184,185,190
204,176,138
205,161,105
120,117,101
254,255,254
225,225,223
102,99,89
198,183,118
215,215,212
165,182,194
217,209,202
147,131,97
88,86,91
76,73,66
53,45,46
206,179,130
145,117,74
141,125,100
197,169,122
255,254,254
105,84,69
160,136,87
101,100,111
215,183,135
78,74,70
87,86,91
209,182,135
155,135,117
255,255,254
142,119,101
253,253,253
98,77,60
253,254,254
121,98,72
253,253,252
112,113,104
253,253,252
251,254,253
246,243,235
70,69,63
121,123,134
84,84,92
132,122,115
214,189,148
111,115,120
115,116,126
74,55,39
54,47,38
254,255,255
50,47,45
196,162,103
161,154,133
117,113,105
254,254,253
167,134,106
253,252,253
114,103,87
154,127,80
193,198,205
50,44,45
134,133,141
211,209,205
135,125,119
254,255,254
118,117,117
68,65,59
95,86,82
129,129,138
20,22,21
114,113,114
162,134,90
251,251,249
149,134,104
89,87,84
114,112,114
68,56,57
206,210,209
64,67,70
129,112,83
254,254,252
155,127,95
78,73,67
66,66,57
253,253,253
224,224,219
210,187,157
199,195,188
254,255,255
248,255,252
254,254,252
43,45,36
250,250,249
211,195,135
122,107,82
94,91,86
70,73,68
179,146,95
245,225,182
74,64,53
92,79,64
91,93,88
47,46,41
193,162,110
112,111,118
101,80,61
156,129,81
84,92,95
118,113,103
101,99,104
255,254,255
186,156,100
123,121,131
64,62,52
57,48,33
125,125,136
173,130,63
134,130,129
133,103,75
149,151,159
69,58,47
65,62,47
179,190,201
253,253,254
87,83,75
254,254,254
130,124,91
149,121,103
141,128,106
31,31,27
73,72,69
255,254,255
114,113,119
131,108,88
166,161,143
254,254,253
158,139,115
46,44,39
47,43,41
251,251,252
93,76,48
85,67,59
252,254,253
254,255,255
149,133,93
64,61,68
253,253,253
86,72,60
56,51,45
225,204,159
174,156,132
98,89,80
141,114,81
224,205,167
58,59,53
86,83,78
108,85,66
179,146,95
253,252,251
254,255,255
105,93,85
252,252,251
144,122,105
225,182,103
89,78,74
59,61,65
45,43,39
130,131,124
251,253,252
196,157,91
82,83,72
255,254,255
149,127,80
117,91,67
137,137,128
179,173,156
254,254,255
231,177,96
199,181,149
154,124,95
140,119,93
149,136,115
255,255,254
218,185,133
77,83,87
101,101,89
72,69,61
186,186,184
206,190,154
149,148,156
253,253,253
201,200,198
91,70,42
145,143,133
152,130,114
135,145,151
249,239,223
252,254,253
133,136,133
181,151,119
123,110,78
255,255,254
145,127,88
81,83,83
244,232,202
114,85,84
123,121,128
254,254,254
89,85,79
50,50,44
90,85,82
78,78,72
160,127,99
109,79,58
52,41,39
203,177,138
255,254,254
188,201,216
254,254,254
144,142,132
192,183,155
104,94,84
107,104,84
94,76,63
184,159,126
119,123,126
186,188,185
253,253,254
29,30,24
242,242,242
201,160,109
128,98,86
254,254,254
72,54,36
101,101,110
116,117,111
88,88,88
122,94,71
255,255,254
47,47,48
249,255,255
254,254,254
249,252,253
220,197,145
123,99,63
107,101,86
191,176,147
156,148,111
255,254,255
77,66,37
88,71,53
92,88,81
140,148,143
201,203,201
216,201,186
132,130,136
44,44,36
254,254,254
251,252,253
132,135,134
79,78,78
120,129,132
84,83,78
165,133,103
90,80,68
54,46,39
112,112,114
48,52,50
254,254,254
51,44,43
201,202,196
247,247,246
252,249,253
146,147,152
157,144,130
107,93,70
174,128,90
90,82,78
74,66,53
130,75,47
196,170,133
137,141,125
94,74,44
198,199,194
153,125,84
238,194,116
252,254,254
115,115,110
40,41,43
83,84,79
129,110,89
240,240,238
48,32,18
75,76,72
28,27,23
165,133,103
224,155,69
192,134,98
68,67,62
112,106,97
69,61,38
168,137,94
254,253,254
180,140,98
196,172,137
249,254,246
197,197,194
82,73,59
121,118,105
255,255,252
254,254,252
206,192,164
252,252,253
24,22,13
151,126,92
107,103,94
155,153,148
131,108,100
252,251,250
250,251,251
39,25,20
253,253,255
82,60,40
78,74,72
138,117,82
172,171,181
254,254,251
197,176,158
253,253,253
108,105,119
136,118,93
31,40,33
48,63,66
79,72,71
192,160,88
202,150,66
83,82,75
177,169,148
77,72,68
128,96,62
96,77,58
119,102,80
119,117,119
255,254,255
206,206,204
84,82,78
136,135,142
50,58,61
254,254,254
102,87,64
109,115,103
117,99,84
61,57,49
222,212,192
52,40,29
127,97,71
55,54,50
254,254,254
143,136,136
157,153,137
130,102,74
163,128,105
145,152,158
255,254,255
67,66,72
53,46,61
128,122,93
111,88,50
113,117,93
195,173,147
119,92,66
142,123,112
109,110,115
194,188,181
78,76,75
252,252,251
117,93,50
187,142,98
93,55,40
142,152,161
197,180,148
229,200,138
106,84,55
76,73,75
163,149,88
78,77,72
87,80,68
207,188,156
254,254,252
255,255,254
254,254,252
84,82,75
133,132,124
187,147,80
89,78,74
169,170,140
185,161,144
252,254,254
89,87,82
202,141,70
86,82,75
145,123,93
254,255,254
185,170,132
113,89,58
175,146,84
148,134,101
188,189,185
216,173,124
255,254,255
179,142,136
254,254,254
124,121,126
41,29,27
150,150,157
252,254,249
186,137,106
77,69,63
190,178,165
141,133,91
122,123,125
201,165,132
108,118,107
77,73,64
44,43,41
156,131,105
104,104,91
196,196,192
88,87,78
254,254,254
244,244,245
70,67,55
72,68,62
253,253,251
79,77,72
142,138,141
161,153,142
95,64,62
130,130,129
187,187,185
114,112,122
199,162,111
111,101,93
143,115,93
76,73,60
254,254,254
252,255,255
116,96,85
193,156,113
61,61,58
217,198,169
199,176,143
250,253,254
114,112,124
98,96,76
200,196,167
158,132,105
141,136,139
89,59,40
143,119,99
71,68,63
253,255,253
65,66,65
199,183,154
168,167,157
94,90,84
90,89,84
158,136,88
132,131,134
140,139,149
89,85,82
114,85,84
102,74,46
