Common name,scientific_name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Tennessee Warbler,oreothlypis peregrina,Passeriformes,Parulidae (New World Warblers),8020862,169906051,3224633644,True,True
Brown Skua,stercorarius antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),1936281,157734474,16126172081,True,False
Ruby-crowned Kinglet,regulus calendula,Passeriformes,Regulidae (Kinglets),13301937,131624404,1221623098,True,True
Franklin's Gull,leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1135134,108014410,8636740617,True,False
Wedge-rumped Storm-Petrel,oceanodroma tethys,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),1129366,95696643,7760594171,False,False
Black-headed Gull,chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",2537682,78878122,2386322004,False,True
Laughing Gull,leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",897047,71587859,5486167208,True,False
Orange-crowned Warbler,oreothlypis celata,Passeriformes,Parulidae (New World Warblers),1918357,68141881,2282400794,True,True
Laughing Dove,streptopelia senegalensis,Columbiformes,Columbidae (Pigeons and Doves),632592,54486713,5148561251,True,False
Neotropic Cormorant,phalacrocorax brasilianus,Suliformes,Phalacrocoracidae (Cormorants and Shags),599093,47778576,3652932205,False,False
Rose-ringed Parakeet,psittacula krameri,Psittaciformes,Psittaculidae (Old World Parrots),607411,47500445,4031050917,True,False
Nashville Warbler,oreothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers),3179740,47482936,657698733,True,True
Hoary Redpoll,acanthis hornemanni,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",2224263,41585696,786801330,False,True
Gray-hooded Gull,chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",465713,39064338,3486898469,True,False
Spotted Dove,streptopelia chinensis,Columbiformes,Columbidae (Pigeons and Doves),369899,33939591,3089768740,False,False
Wilson's Phalarope,phalaropus tricolor,Charadriiformes,Scolopacidae (Sandpipers and Allies),465955,32852008,2707361652,True,False
Bonaparte's Gull,chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",449297,31849163,2494366460,True,False
South Polar Skua,stercorarius maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),361919,31456159,2901734113,True,False
Double-crested Cormorant,phalacrocorax auritus,Suliformes,Phalacrocoracidae (Cormorants and Shags),397292,30734496,2149082202,True,False
Slender-billed Gull,chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",359851,27058725,2114347191,True,False
Lesser Whitethroat,sylvia curruca,Passeriformes,Sylviidae (Sylviid Warblers),277601,25679850,2279252769,True,False
American Tree Sparrow,spizelloides arborea,Passeriformes,Passerellidae (New World Sparrows),895355,25128656,746018865,True,True
Silver Gull,chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",324581,24355851,2008035089,True,False
Leach's Storm-Petrel,oceanodroma leucorhoa,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),269169,22039393,2038964095,False,False
Alpine Swift,apus melba,Caprimulgiformes,Apodidae (Swifts),249931,19996974,1826176973,True,False
Blue-gray Tanager,thraupis episcopus,Passeriformes,Thraupidae (Tanagers and Allies),223790,19696488,1917174923,False,False
Gray Gull,leucophaeus modestus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",256667,19675324,1583637315,True,False
Brown-hooded Gull,chroicocephalus maculipennis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",242520,19629212,1486883964,True,False
Pallas's Grasshopper-Warbler,locustella certhiola,Passeriformes,Locustellidae (Grassbirds and Allies),216938,19047346,1757823706,True,False
White-breasted Woodswallow,artamus leucorynchus,Passeriformes,Artamidae (Woodswallows),212251,17943903,1625254781,True,False
Sandhill Crane,antigone canadensis,Gruiformes,Gruidae (Cranes),263247,17295706,1110527069,True,False
Greater Whitethroat,sylvia communis,Passeriformes,Sylviidae (Sylviid Warblers),201967,17111613,1587718731,True,False
Hairy Woodpecker,dryobates villosus,Piciformes,Picidae (Woodpeckers),1292859,16835765,211104808,True,True
Palm Tanager,thraupis palmarum,Passeriformes,Thraupidae (Tanagers and Allies),187142,16724904,1530093148,True,False
Australian Ibis,threskiornis molucca,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),174941,15010179,1252912104,False,False
Guanay Cormorant,phalacrocorax bougainvillii,Suliformes,Phalacrocoracidae (Cormorants and Shags),229111,13494661,863363287,True,False
Germain's Swiftlet,aerodramus germani,Caprimulgiformes,Apodidae (Swifts),139958,12759674,1160439319,False,False
Vinous-throated Parrotbill,sinosuthora webbiana,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",154891,12065836,1118121146,True,False
Sooty Gull,ichthyaetus hemprichii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",133905,11656878,1028564328,True,False
Brown-headed Gull,chroicocephalus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",131445,11391240,932248397,True,False
