avibase_id,species_birdlife,species_birdtree,family_birdlife,order_birdlife,family_birdtree,order_birdtree,beak_culmen,beak_nares,beak_width,beak_depth,dimorphism_beak_culmen,dimorphism_beak_nares,dimorphism_beak_width,beak_elongation,beak_robustness,tarsus,dimorphism_tarsus,wing_len,kipps,secondary,hwi,dimorphism_wing_len,dimorphism_kipps,dimorphism_secondary,dimorphism_hwi,wing_pointedness,wing_loading,log_wing_loading,aspect_ratio,tail,dimorphism_tail,tail_to_wing,mass,log_mass,body_condition,total_individuals,female_count,male_count,mass_source,inference,lat_min,abs_lat_min,lat_max,abs_lat_max,lat_centroid,abs_lat_centroid,lon_centroid,range_size,log_RangeSize,climate_zone,habitat,habitat_density,migration,trophic_level,trophic_niche,lifestyle
AVIBASE-B3F5E5E2,Abeillia abeillei,Abeillia_abeillei,Trochilidae,Caprimulgiformes,Trochilidae,Apodiformes,13.00000,9.50000,1.18000,1.68000,-0.16667,-0.10526,0.11299,11.01695,0.15249,6.34000,-0.31809,47.00000,30.50000,15.50000,66.35000,0.07092,0.00000,0.12903,-0.04371,0.64894,0.00122,-6.70704,3.03226,29.40000,0.05102,0.62553,2.70000,0.99325,0.01059,5.00000,2.00000,3.00000,Dunning,NO,12.78000,12.78000,19.77000,19.77000,15.29000,15.29000,-89.79000,144610.40000,11.88180,tropical,Forest,Semi-dense,resident,Herbivore,Nectarivore,Aerial
AVIBASE-684016CB,Abroscopus albogularis,Abroscopus_albogularis,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,8.98000,4.90000,2.74000,2.34000,0.02413,0.00000,-0.06691,3.27737,0.71399,15.28000,0.02509,43.40000,5.70000,37.30000,13.27500,0.04416,0.03509,0.03485,-0.00377,0.13134,0.00255,-5.97230,1.16354,38.70000,0.00861,0.89171,4.80000,1.56862,0.00135,5.00000,2.00000,3.00000,Dunning,NO,14.97000,14.97000,31.56000,31.56000,24.78000,24.78000,105.57000,1704650.60000,14.34887,temperate,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-0FD03AFF,Abroscopus schisticeps,Abroscopus_schisticeps,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,8.95000,4.67500,2.60000,2.32500,-0.02235,-0.04991,0.05128,3.44231,0.67542,16.52500,0.02219,47.12500,7.60000,39.52500,16.12500,0.02476,0.14035,0.00253,0.11369,0.16127,0.00212,-6.15804,1.19228,47.50000,0.01404,1.00796,4.70000,1.54756,0.00104,4.00000,3.00000,1.00000,Dunning,NO,20.19000,20.19000,31.12000,31.12000,26.70000,26.70000,95.58000,909217.05000,13.72034,temperate,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-A8F5D21F,Abroscopus superciliaris,Abroscopus_superciliaris,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,12.32000,7.37500,3.12000,2.84000,-0.01082,-0.00678,-0.01603,3.94872,0.71922,16.58000,0.02815,51.20000,6.47500,44.52500,12.70000,0.05534,0.06950,0.05727,0.00787,0.12646,0.00248,-5.99968,1.14992,42.40000,0.11399,0.82812,6.50000,1.87180,0.00143,5.00000,2.00000,3.00000,Dunning,NO,-8.11000,8.11000,28.81000,28.81000,9.89000,9.89000,105.20000,2493437.47000,14.72917,tropical,Shrubland,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-50A42775,Aburria aburri,Aburria_aburri,Cracidae,Galliformes,Cracidae,Galliformes,37.11667,16.62500,9.26250,10.25000,0.09520,0.06917,0.00270,4.00720,2.55790,65.81667,0.08154,337.18182,52.50000,283.10000,15.66000,0.03381,0.00000,0.04945,-0.03831,0.15570,0.01236,-4.39338,1.19103,290.37500,0.06859,0.86118,1405.10000,7.24786,0.00493,12.00000,6.00000,6.00000,Dunning,NO,-13.43000,13.43000,11.15000,11.15000,-2.79000,2.79000,-75.23000,139314.36000,11.84449,tropical,Forest,Open,resident,Herbivore,Frugivore,Insessorial
AVIBASE-BFB1C22E,Acanthagenys rufogularis,Acanthagenys_rufogularis,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,25.69412,11.27500,3.67059,4.98824,0.05261,0.05617,0.05040,7.00000,0.71261,25.12500,0.00663,111.11765,24.97500,82.77500,23.20000,0.05760,0.02536,0.03665,-0.00575,0.22476,0.00387,-5.55415,1.34241,111.38235,0.03793,1.00238,47.80000,3.86703,0.00301,17.00000,5.00000,12.00000,Dunning,NO,-38.86000,38.86000,-16.14000,16.14000,-27.10000,27.10000,133.98000,5976565.20000,15.60336,temperate,Shrubland,Semi-dense,resident,Omnivore,Omnivore,Insessorial
AVIBASE-5CCF7540,Acanthidops bairdi,Acanthidops_bairdii,Thraupidae,Passeriformes,Emberizidae,Passeriformes,16.23333,10.80000,3.85000,5.30000,0.06779,0.13832,-0.05195,4.21645,1.25698,20.92500,0.03345,66.00000,11.27500,54.72500,17.05000,0.10101,0.11530,0.09807,0.01173,0.17083,0.00367,-5.60672,1.20603,52.12500,0.13110,0.78977,16.00000,2.77259,0.00175,4.00000,1.00000,3.00000,Dunning,NO,8.80000,8.80000,10.38000,10.38000,9.56000,9.56000,-83.49000,4743.28000,8.46448,tropical,Forest,Open,partial,Omnivore,Invertivore,Insessorial
AVIBASE-0B397CB0,Acanthis flammea,Carduelis_flammea,,,Fringillidae,Passeriformes,11.37222,7.85000,4.48571,6.45714,0.01935,0.02972,0.15048,2.53521,2.54698,15.61111,0.02578,75.82857,25.09615,50.68750,33.18077,0.03839,0.05977,0.02318,0.02156,0.33096,0.00404,-5.51042,1.49600,58.72222,0.01639,0.77441,23.25529,3.14653,0.00611,,,,,,11.94935,11.94935,27.33632,27.33632,20.05224,20.05224,11.17251,2069185.58360,14.54267,tropical,Shrubland,Semi-dense,resident,Herbivore,Granivore,Insessorial
AVIBASE-A2BB98A9,Acanthis flammea,Carduelis_flammea,,,Fringillidae,Passeriformes,14.58699,10.02505,6.23261,7.94378,0.03465,0.03743,0.05121,2.34043,3.39415,17.80940,0.02742,75.50000,23.50000,52.00000,31.10000,-0.03177,0.11851,-0.10009,0.15850,0.31126,0.00408,-5.50173,1.45192,57.12680,0.03997,0.75665,23.25529,3.14653,0.00412,,,,,,11.94935,11.94935,27.33632,27.33632,20.05224,20.05224,11.17251,2069185.58360,14.54267,tropical,Shrubland,Semi-dense,resident,Herbivore,Granivore,Insessorial
AVIBASE-7D5E37D9,Acanthisitta chloris,Acanthisitta_chloris,Acanthisittidae,Passeriformes,Acanthisittidae,Passeriformes,12.11667,6.32500,2.38333,2.21667,0.01926,0.18182,0.09790,5.08392,0.43602,18.01667,0.02775,46.00000,6.17500,38.07500,13.92500,0.08696,0.05668,0.08273,-0.01795,0.13424,0.00326,-5.72576,1.20814,23.50000,-0.07092,0.51087,6.90000,1.93152,0.00118,6.00000,3.00000,3.00000,Dunning,NO,-47.28000,47.28000,-35.38000,35.38000,-42.25000,42.25000,172.19000,152503.84000,11.93495,temperate,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-4413633D,Acanthiza apicalis,Acanthiza_apicalis,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.01053,5.92500,2.17000,2.63000,-0.02580,0.09283,-0.08065,5.07398,0.51833,18.98000,0.01897,51.05000,7.15000,43.22500,14.17500,0.07305,0.15385,0.07287,0.06702,0.14006,0.00292,-5.83746,1.18103,44.10000,-0.01512,0.86386,7.60000,2.02815,0.00111,20.00000,8.00000,12.00000,Dunning,NO,-36.00000,36.00000,-16.78000,16.78000,-27.63000,27.63000,131.95000,4124270.80000,15.23240,temperate,Woodland,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-B1B0E343,Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.70000,6.25000,2.13846,2.50000,-0.06944,0.09600,-0.00117,5.47123,0.45694,18.01429,-0.01277,58.30769,9.10000,49.15000,15.57500,0.03087,0.23077,0.00814,0.18941,0.15607,0.00274,-5.90145,1.18632,37.88462,-0.06929,0.64974,9.30000,2.23001,0.00159,13.00000,5.00000,8.00000,Dunning,NO,-43.64000,43.64000,-18.56000,18.56000,-28.80000,28.80000,136.41000,4590956.34000,15.33960,temperate,Woodland,Semi-dense,resident,Carnivore,Invertivore,Terrestrial
AVIBASE-BCF9128E,Acanthiza cinerea,Gerygone_cinerea,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.58750,5.95000,2.58750,2.75000,-0.19460,-0.15303,-0.08176,4.09179,0.67208,19.22500,0.00316,52.00000,10.05000,42.20000,19.22500,-0.04461,0.21536,-0.07932,0.23231,0.19327,0.00281,-5.87434,1.23223,32.43750,-0.33329,0.62380,7.60000,2.02815,0.00107,8.00000,0.00000,8.00000,Dunning,NO,-10.11000,10.11000,-0.56000,0.56000,-5.22000,5.22000,141.57000,124509.89000,11.73214,tropical,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-14B92847,Acanthiza ewingii,Acanthiza_ewingii,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.70909,5.57500,1.94167,2.47500,-0.03486,-0.04674,-0.06867,5.51540,0.44874,21.47143,0.07607,52.20833,8.27500,42.47500,16.30000,-0.00958,0.09841,-0.05291,0.11909,0.15850,0.00253,-5.97896,1.22915,46.41667,-0.14542,0.88907,6.90000,1.93152,0.00070,12.00000,3.00000,6.00000,Dunning,NO,-43.64000,43.64000,-39.44000,39.44000,-41.94000,41.94000,146.59000,68050.51000,11.12801,temperate,Forest,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-6601168A,Acanthiza inornata,Acanthiza_inornata,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.30000,5.90000,2.27273,2.70909,-0.00325,0.05085,0.05867,4.97199,0.54487,17.26250,0.00348,47.77273,6.02500,40.97500,12.82500,0.04884,-0.00830,0.00122,-0.01170,0.12612,0.00307,-5.78700,1.16590,36.35000,-0.02476,0.76089,7.00000,1.94591,0.00136,11.00000,5.00000,6.00000,Dunning,NO,-35.19000,35.19000,-29.16000,29.16000,-32.67000,32.67000,116.74000,137406.16000,11.83070,temperate,Woodland,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-D6ACB361,Acanthiza iredalei,Acanthiza_iredalei,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.15385,4.85000,1.96154,2.32308,-0.06500,-0.02062,-0.04843,4.66666,0.49780,17.36250,0.05875,48.42308,7.20000,39.80000,15.35000,0.04440,-0.06944,0.06281,-0.11075,0.14869,0.00256,-5.96819,1.21666,39.26923,-0.01369,0.81096,6.00000,1.79176,0.00115,13.00000,5.00000,8.00000,Dunning,NO,-38.86000,38.86000,-24.06000,24.06000,-31.22000,31.22000,128.95000,987131.55000,13.80256,temperate,Shrubland,Semi-dense,resident,Carnivore,Invertivore,Generalist
AVIBASE-E60E9E28,Acanthiza katherina,Acanthiza_katherina,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.50000,5.75000,2.38571,2.62857,0.02391,-0.18444,-0.10479,4.82037,0.54530,18.10000,0.01381,52.07143,9.10000,42.65000,17.60000,0.09842,0.16641,-0.03393,0.16143,0.17476,0.00266,-5.93115,1.22090,41.07143,-0.07000,0.78875,7.20000,1.97408,0.00121,7.00000,2.00000,4.00000,Dunning,NO,-19.07000,19.07000,-15.76000,15.76000,-17.76000,17.76000,144.85000,58196.09000,10.97157,tropical,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-D0A0845A,Acanthiza lineata,Acanthiza_lineata,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.87895,4.97500,2.07368,2.77368,-0.02114,0.03350,-0.05465,4.76397,0.58222,17.06154,-0.00309,51.47368,9.42500,39.95000,19.12500,0.02774,0.10964,0.06174,0.03312,0.18310,0.00260,-5.95062,1.28845,37.94737,-0.04714,0.73722,6.90000,1.93152,0.00139,19.00000,9.00000,10.00000,Dunning,NO,-39.24000,39.24000,-23.09000,23.09000,-32.16000,32.16000,147.50000,1043817.35000,13.85840,temperate,Forest,Semi-dense,resident,Omnivore,Invertivore,Insessorial
AVIBASE-87E8A565,Acanthiza murina,Acanthiza_murina,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.40000,6.04000,2.43333,2.93333,0.00658,-0.03035,0.08219,4.68494,0.62612,17.88000,-0.02051,57.08333,12.74000,43.96000,22.52000,0.02847,0.09681,-0.00152,0.07179,0.22318,0.00258,-5.96079,1.29853,35.00000,-0.11905,0.61314,8.40000,2.12823,0.00147,6.00000,2.00000,4.00000,Dunning,NO,-9.63000,9.63000,-3.38000,3.38000,-5.39000,5.39000,141.94000,83142.29000,11.32831,tropical,Forest,Open,resident,Carnivore,Invertivore,Insessorial
AVIBASE-D6D77AFA,Acanthiza nana,Acanthiza_nana,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.02632,5.20000,2.09474,2.70000,-0.01054,0.07692,0.00597,4.78643,0.56410,17.19231,0.01774,49.07895,8.82500,40.80000,17.82500,0.03137,-0.13031,0.09559,-0.18794,0.17981,0.00257,-5.96231,1.20292,36.81579,-0.02330,0.75013,6.20000,1.82455,0.00122,19.00000,8.00000,11.00000,Dunning,NO,-39.14000,39.14000,-15.68000,15.68000,-29.95000,29.95000,146.15000,2021416.13000,14.51931,temperate,Shrubland,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-8F6C8E9E,Acanthiza pusilla,Acanthiza_pusilla,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.21176,5.30000,2.05294,2.58235,0.00149,0.09434,-0.03248,5.46132,0.47284,18.71000,0.03100,51.76471,7.60000,44.15000,14.60000,0.02640,0.34211,0.02039,0.27397,0.14682,0.00284,-5.86527,1.17247,43.37500,-0.02431,0.83793,7.60000,2.02815,0.00116,17.00000,5.00000,12.00000,Dunning,NO,-43.64000,43.64000,-20.00000,20.00000,-32.24000,32.24000,147.72000,1131818.69000,13.93934,temperate,Shrubland,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-7B1144C8,Acanthiza reguloides,Acanthiza_reguloides,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.03750,5.97500,2.15625,2.58750,0.02265,-0.04184,0.05217,5.11884,0.50549,16.69231,0.01940,51.96875,7.27500,44.72500,13.97500,0.03007,0.03436,0.01677,0.01789,0.13999,0.00285,-5.86006,1.16196,38.93750,0.01284,0.74925,7.70000,2.04122,0.00166,16.00000,8.00000,8.00000,Dunning,NO,-39.14000,39.14000,-15.80000,15.80000,-29.59000,29.59000,146.67000,1843422.30000,14.42713,temperate,Forest,Semi-dense,resident,Carnivore,Invertivore,Insessorial
AVIBASE-4D64891A,Acanthiza robustirostris,Acanthiza_robustirostris,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.89000,5.10000,2.33000,2.73000,-0.01416,-0.01961,-0.16309,4.24464,0.64316,19.08571,0.00105,50.80000,7.62500,42.75000,15.15000,0.03937,0.04590,-0.00234,0.03960,0.15010,0.00236,-6.04750,1.18830,40.20000,-0.02488,0.79134,6.10000,1.80829,0.00088,10.00000,5.00000,5.00000,Dunning,NO,-30.40000,30.40000,-19.66000,19.66000,-25.85000,25.85000,127.45000,2061848.42000,14.53911,temperate,Woodland,Semi-dense,partial,Carnivore,Invertivore,Insessorial
