avibase_id,species_birdlife,species_birdtree,family_birdlife,order_birdlife,family_birdtree,order_birdtree,beak_culmen_avg,beak_culmen_avg_m,beak_culmen_avg_f,beak_nares_avg,beak_nares_avg_m,beak_nares_avg_f,beak_width_avg,beak_width_avg_m,beak_width_avg_f,beak_depth_avg,beak_depth_avg_m,beak_depth_avg_f,tarsus_avg,tarsus_avg_m,tarsus_avg_f,wing_len_avg,wing_len_avg_m,wing_len_avg_f,kipps_avg,kipps_avg_m,kipps_avg_f,secondary_avg,secondary_avg_m,secondary_avg_f,hwi_avg,hwi_avg_m,hwi_avg_f,tail_avg,tail_avg_m,tail_avg_f,total_individuals,female_count,male_count,mass_avg,mass_source,inference,habitat,habitat_density,migration,trophic_level,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size
AVIBASE-B3F5E5E2,Abeillia abeillei,Abeillia_abeillei,Trochilidae,Caprimulgiformes,Trochilidae,Apodiformes,13.00000,12.13333,14.30000,9.50000,9.00000,10.00000,1.18000,1.23333,1.10000,1.68000,1.63333,1.75000,6.34000,5.53333,7.55000,47.00000,48.33333,45.00000,30.50000,30.50000,30.50000,15.50000,16.50000,14.50000,66.35000,64.90000,67.80000,29.40000,30.00000,28.50000,5.00000,2.00000,3.00000,2.70000,Dunning,NO,Forest,2.00000,1.00000,Herbivore,Nectarivore,Aerial,12.78000,19.77000,15.29000,-89.79000,144610.40000
AVIBASE-684016CB,Abroscopus albogularis,Abroscopus_albogularis,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,8.98000,9.06667,8.85000,4.90000,4.90000,4.90000,2.74000,2.66667,2.85000,2.34000,2.36667,2.30000,15.28000,15.43333,15.05000,43.40000,44.16667,42.25000,5.70000,5.80000,5.60000,37.30000,37.95000,36.65000,13.27500,13.25000,13.30000,38.70000,38.83333,38.50000,5.00000,2.00000,3.00000,4.80000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,14.97000,31.56000,24.78000,105.57000,1704650.60000
AVIBASE-0FD03AFF,Abroscopus schisticeps,Abroscopus_schisticeps,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,8.95000,8.80000,9.00000,4.67500,4.50000,4.73333,2.60000,2.70000,2.56667,2.32500,2.50000,2.26667,16.52500,16.80000,16.43333,47.12500,48.00000,46.83333,7.60000,8.40000,7.33333,39.52500,39.60000,39.50000,16.12500,17.50000,15.66667,47.50000,48.00000,47.33333,4.00000,3.00000,1.00000,4.70000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,20.19000,31.12000,26.70000,95.58000,909217.05000
AVIBASE-A8F5D21F,Abroscopus superciliaris,Abroscopus_superciliaris,Scotocercidae,Passeriformes,Sylviidae,Passeriformes,12.32000,12.26667,12.40000,7.37500,7.35000,7.40000,3.12000,3.10000,3.15000,2.84000,2.96667,2.65000,16.58000,16.76667,16.30000,51.20000,52.33333,49.50000,6.47500,6.70000,6.25000,44.52500,45.80000,43.25000,12.70000,12.75000,12.65000,42.40000,44.33333,39.50000,5.00000,2.00000,3.00000,6.50000,Dunning,NO,Shrubland,1.00000,1.00000,Carnivore,Invertivore,Insessorial,-8.11000,28.81000,9.89000,105.20000,2493437.47000
AVIBASE-50A42775,Aburria aburri,Aburria_aburri,Cracidae,Galliformes,Cracidae,Galliformes,37.11667,38.88333,35.35000,16.62500,17.20000,16.05000,9.26250,9.27500,9.25000,10.25000,11.30000,9.20000,65.81667,68.50000,63.13333,337.18182,343.40000,332.00000,52.50000,52.50000,52.50000,283.10000,291.50000,277.50000,15.66000,15.30000,15.90000,290.37500,300.33333,280.41667,12.00000,6.00000,6.00000,1405.10000,Dunning,NO,Forest,1.00000,1.00000,Herbivore,Frugivore,Insessorial,-13.43000,11.15000,-2.79000,-75.23000,139314.36000
AVIBASE-BFB1C22E,Acanthagenys rufogularis,Acanthagenys_rufogularis,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,25.69412,26.09167,24.74000,11.27500,11.43333,10.80000,3.67059,3.72500,3.54000,4.98824,5.05000,4.84000,25.12500,25.16667,25.00000,111.11765,113.00000,106.60000,24.97500,25.13333,24.50000,82.77500,83.53333,80.50000,23.20000,23.16667,23.30000,111.38235,112.62500,108.40000,17.00000,5.00000,12.00000,47.80000,Dunning,NO,Shrubland,2.00000,1.00000,Omnivore,Omnivore,Insessorial,-38.86000,-16.14000,-27.10000,133.98000,5976565.20000
AVIBASE-5CCF7540,Acanthidops bairdi,Acanthidops_bairdii,Thraupidae,Passeriformes,Emberizidae,Passeriformes,16.23333,16.23333,15.13283,10.80000,10.80000,9.30619,3.85000,3.80000,4.00000,5.30000,5.43333,4.90000,20.92500,21.10000,20.40000,66.00000,67.66667,61.00000,11.27500,11.60000,10.30000,54.72500,56.06667,50.70000,17.05000,17.10000,16.90000,52.12500,53.83333,47.00000,4.00000,1.00000,3.00000,16.00000,Dunning,NO,Forest,1.00000,2.00000,Omnivore,Invertivore,Insessorial,8.80000,10.38000,9.56000,-83.49000,4743.28000
AVIBASE-0B397CB0,Acanthis flammea,Carduelis_flammea,,,Fringillidae,Passeriformes,11.37222,11.47000,11.25000,7.85000,7.96667,7.73333,4.48571,4.77500,4.10000,6.45714,6.60000,6.26667,15.61111,15.79000,15.38750,75.82857,77.18000,74.26923,25.09615,25.84615,24.34615,50.68750,51.27500,50.10000,33.18077,33.53846,32.82308,58.72222,59.15000,58.18750,,,,23.25529,,,Shrubland,2.00000,1.00000,Herbivore,Granivore,Insessorial,11.94935,27.33632,20.05224,11.17251,2069185.58360
AVIBASE-A2BB98A9,Acanthis flammea,Carduelis_flammea,,,Fringillidae,Passeriformes,14.58699,14.82696,14.32156,10.02505,10.18886,9.81360,6.23261,6.34933,6.03015,7.94378,8.01077,7.76355,17.80940,17.99552,17.50716,75.50000,75.50000,77.89900,23.50000,23.50000,20.71502,52.00000,52.00000,57.20480,31.10000,31.10000,26.17064,57.12680,58.03877,55.75539,,,,23.25529,,,Shrubland,2.00000,1.00000,Herbivore,Granivore,Insessorial,11.94935,27.33632,20.05224,11.17251,2069185.58360
AVIBASE-7D5E37D9,Acanthisitta chloris,Acanthisitta_chloris,Acanthisittidae,Passeriformes,Acanthisittidae,Passeriformes,12.11667,12.23333,12.00000,6.32500,6.90000,5.75000,2.38333,2.50000,2.26667,2.21667,2.20000,2.23333,18.01667,18.26667,17.76667,46.00000,48.00000,44.00000,6.17500,6.35000,6.00000,38.07500,39.65000,36.50000,13.92500,13.80000,14.05000,23.50000,22.66667,24.33333,6.00000,3.00000,3.00000,6.90000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,-47.28000,-35.38000,-42.25000,172.19000,152503.84000
