Sequence,scientific_name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
1061.0,caprimulgus centralasicus,Caprimulgidae,Caprimulgiformes,AVIBASE-0BC7890E,1,1,0,0,1,15.3,7.0,4.7,2.6,15.2,156.0,61.0,95.0,39.1,106.0,57.51,EltonTraits_GenAvg,,NO,,,Shrubland,2,,Carnivore,Invertivore,Aerial,,,,,
1480.0,amazilia amabilis,Trochilidae,Caprimulgiformes,AVIBASE-98B261C6,22,3,14,5,6,21.3,16.4,2.0,1.9,4.3,52.3,32.8,18.3,64.2,29.2,4.3,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,-3.98,14.18,6.51,-78.67,298612.12
1472.0,amazilia amazilia,Trochilidae,Caprimulgiformes,AVIBASE-62AFA922,5,2,3,0,4,20.7,15.9,2.9,2.0,6.5,61.8,35.2,25.3,58.1,37.6,4.3,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Nectarivore,Aerial,-15.53,1.08,-6.41,-79.11,169380.82
1493.0,amazilia bartletti,Trochilidae,Caprimulgiformes,AVIBASE-DC2C4D3F,13,2,11,0,3,24.7,19.2,2.9,2.5,4.3,55.3,33.9,21.5,61.2,31.0,4.6,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,-15.53,-5.41,-11.0,-69.0,1032986.12
1483.0,amazilia beryllina,Trochilidae,Caprimulgiformes,AVIBASE-EDCAC4EA,5,2,3,0,4,21.3,17.4,2.3,2.1,5.7,53.4,32.7,21.1,60.8,31.8,4.5,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,13.25,30.75,19.81,-99.94,607143.11
1475.0,amazilia brevirostris,Trochilidae,Caprimulgiformes,AVIBASE-90782929,4,2,2,0,4,19.6,15.2,2.1,1.8,5.1,48.8,30.3,18.5,62.2,28.5,4.3,Dunning,,NO,,,Forest,1,1.0,Herbivore,Nectarivore,Aerial,2.71,10.84,6.43,-61.1,584285.4
1477.0,amazilia candida,Trochilidae,Caprimulgiformes,AVIBASE-D6040531,5,3,2,0,4,18.7,13.4,2.3,2.0,5.8,51.8,32.5,19.8,62.1,28.6,3.8,Dunning,,NO,,,Forest,1,1.0,Herbivore,Nectarivore,Aerial,12.3,21.86,17.27,-90.34,429525.06
1469.0,amazilia castaneiventris,Trochilidae,Caprimulgiformes,AVIBASE-73879DB0,8,2,3,3,7,21.9,18.4,1.9,1.6,5.2,52.0,31.4,20.7,60.3,30.2,5.0,Dunning,,NO,,,Forest,1,1.0,Herbivore,Nectarivore,Aerial,6.21,8.06,6.79,-73.09,4916.59
1466.0,amazilia chionogaster,Trochilidae,Caprimulgiformes,AVIBASE-18C03F5D,9,4,5,0,4,25.6,19.9,2.5,2.2,6.2,57.7,35.9,21.4,62.8,32.1,5.04,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Nectarivore,Aerial,-30.21,-5.21,-16.28,-69.48,488801.52
1506.0,amazilia chrysura,Trochilidae,Caprimulgiformes,AVIBASE-B507381B,4,3,0,1,3,22.8,19.1,2.7,2.0,4.4,51.8,31.8,19.9,61.5,30.8,4.5,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,-35.91,-12.15,-23.13,-57.87,3128401.38
1507.0,amazilia coeruleogularis,Trochilidae,Caprimulgiformes,AVIBASE-D3D0C21B,5,2,3,0,4,21.5,16.8,2.0,2.0,5.3,47.2,30.0,16.7,64.3,33.6,4.2,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Nectarivore,Aerial,7.2,11.3,8.78,-77.93,88891.44
1497.0,amazilia cupreicauda,Trochilidae,Caprimulgiformes,AVIBASE-B6547FA5,5,2,3,0,1,19.0,15.4,2.3,2.2,3.5,49.2,31.9,17.4,64.7,27.6,3.74,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,0.85,7.26,4.73,-63.45,235892.11
1482.0,amazilia cyanocephala,Trochilidae,Caprimulgiformes,AVIBASE-822E745E,5,2,3,0,4,22.8,16.8,2.4,2.2,5.9,60.8,38.3,21.7,63.9,36.6,5.1,Dunning,,NO,,,Forest,1,1.0,Herbivore,Nectarivore,Aerial,12.65,23.77,16.4,-91.3,304040.65
1484.0,amazilia cyanura,Trochilidae,Caprimulgiformes,AVIBASE-33C0BBAE,5,2,3,0,4,21.9,16.4,2.4,1.9,6.8,53.9,33.8,19.6,63.3,30.4,3.9,Dunning,,NO,,,Woodland,2,1.0,Herbivore,Nectarivore,Aerial,9.69,15.94,13.13,-87.74,75350.44
1505.0,amazilia cyanus,Trochilidae,Caprimulgiformes,AVIBASE-8564ACE3,7,1,3,3,4,20.1,14.7,2.1,2.1,4.4,47.8,29.5,18.0,62.1,25.6,3.3,Dunning,,NO,,,Forest,1,1.0,Herbivore,Nectarivore,Aerial,-25.29,11.72,-5.71,-60.14,7031990.78
1481.0,amazilia decora,Trochilidae,Caprimulgiformes,AVIBASE-F3516A3B,14,1,13,0,4,24.8,18.9,2.1,2.6,5.1,52.3,32.6,20.4,61.6,30.8,4.7,Updated_literature,BoW,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,8.03,9.79,8.9,-83.32,13144.24
1495.0,amazilia edward,Trochilidae,Caprimulgiformes,AVIBASE-A5F5E555,5,0,2,3,2,20.6,16.5,1.8,1.7,4.4,52.1,33.3,18.6,64.2,29.9,4.7,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,7.21,9.51,8.44,-80.44,42606.22
1504.0,amazilia eliciae,Trochilidae,Caprimulgiformes,AVIBASE-1939B2C8,10,2,8,0,4,18.3,15.2,2.4,2.3,3.3,49.5,31.1,17.1,64.4,27.8,3.6,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,7.2,18.75,13.09,-86.2,306966.67
1491.0,amazilia fimbriata,Trochilidae,Caprimulgiformes,AVIBASE-91AD1DE4,18,7,7,4,5,22.2,17.6,2.3,2.4,4.5,52.3,32.4,18.4,63.5,30.2,4.9,Dunning,,NO,,,Forest,2,1.0,Herbivore,Nectarivore,Aerial,-29.97,11.53,-6.78,-57.09,10740118.89
1509.0,amazilia goudoti,Trochilidae,Caprimulgiformes,AVIBASE-2BE9465C,5,1,0,4,4,19.6,15.5,2.2,1.6,4.5,49.4,31.0,18.2,63.0,29.8,4.0,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Nectarivore,Aerial,1.72,12.46,8.43,-73.97,299961.56
1501.0,amazilia grayi,Trochilidae,Caprimulgiformes,AVIBASE-D4920C92,9,1,6,2,4,22.1,18.3,2.6,2.0,5.4,60.5,37.6,22.2,62.9,33.4,5.6,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Nectarivore,Aerial,0.04,4.81,2.51,-76.96,39557.97
