avibase_id,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB
AVIBASE-2247CB05,114500.0,0.0,3000.0,3000.0,Grassland,Herbivore,SC,Yes,Omnivore
AVIBASE-40329BB6,107875.0,0.0,3000.0,3000.0,Grassland,Herbivore,SC,Yes,Omnivore
AVIBASE-00986B24,25250.0,0.0,1200.0,1200.0,Grassland,Herbivore,SC,Yes,Herbivore terrestrial
AVIBASE-BA52A675,21925.0,0.0,4500.0,4500.0,Grassland,Herbivore,SC,Yes,Herbivore terrestrial
AVIBASE-6BA55EF0,2602.5,0.0,1500.0,1500.0,Forest,Carnivore,"BU,CV",Yes,Invertivore
AVIBASE-DB55CB8C,2602.5,0.0,1000.0,1000.0,Forest,Carnivore,"BU,CV",Yes,Invertivore
AVIBASE-D433BDAB,2336.25,0.0,1000.0,1000.0,Forest,Carnivore,"BU,CV",Yes,Invertivore
AVIBASE-187706CF,1296.5,0.0,1000.0,1000.0,Forest,Carnivore,"BU,CV",Yes,Invertivore
AVIBASE-0D8B9E40,2156.25,700.0,400.0,1100.0,Grassland,Carnivore,"BU,CV",Yes,Invertivore
AVIBASE-8B9D93D8,46700.0,0.0,500.0,500.0,Forest,Herbivore,PL,Yes,Frugivore
AVIBASE-7751E0D1,26300.0,0.0,3300.0,3300.0,Forest,Herbivore,SC,Yes,Frugivore
AVIBASE-32E7303B,46993.25,0.0,700.0,700.0,Forest,Herbivore,SC,Yes,Frugivore
AVIBASE-FD2456D5,42500.0,0.0,1600.0,1600.0,Grassland,Omnivore,SC,Yes,Omnivore
AVIBASE-346D16D5,1674.5,50.0,1850.0,1900.0,Forest,Herbivore,SC,No,Frugivore
AVIBASE-67E5E0FA,1428.5,0.0,1200.0,1200.0,Forest,Omnivore,SC,No,Omnivore
AVIBASE-63C5F122,1392.5,600.0,1500.0,2100.0,Forest,Herbivore,,No,Omnivore
AVIBASE-42D72AE1,1006.75,0.0,1500.0,1500.0,Forest,Herbivore,SC,No,Omnivore
AVIBASE-0480B7C9,688.75,0.0,500.0,500.0,Forest,Herbivore,,No,Granivore
AVIBASE-66C31E09,712.25,1500.0,1000.0,2500.0,Forest,Herbivore,SC,No,Frugivore
AVIBASE-5FB99321,683.75,1700.0,1700.0,3400.0,Forest,Herbivore,,No,Omnivore
AVIBASE-68E763AE,540.0,1300.0,2000.0,3300.0,Forest,Herbivore,,No,Omnivore
AVIBASE-9B036853,521.0,0.0,500.0,500.0,Forest,Herbivore,,No,Omnivore
AVIBASE-7C90F8DB,502.25,0.0,900.0,900.0,Forest,Omnivore,NO,No,Omnivore
AVIBASE-39DD9DD7,247.25,0.0,1500.0,1500.0,Forest,Omnivore,SC,No,Omnivore
AVIBASE-F5F9A63F,,1350.0,450.0,1800.0,Forest,Herbivore,,No,Omnivore
AVIBASE-D624C373,478.83333,200.0,2600.0,2800.0,Forest,Herbivore,SC,No,Granivore
AVIBASE-7A600A0F,550.66667,0.0,900.0,900.0,Forest,Omnivore,,No,Omnivore
AVIBASE-D303E7FF,283.0,0.0,800.0,800.0,Forest,Herbivore,,No,Omnivore
AVIBASE-FE2B5A6B,421.0,0.0,500.0,500.0,Forest,Herbivore,SC,No,Granivore
AVIBASE-D2592D39,429.5,,,500.0,Forest,Omnivore,,No,Omnivore
AVIBASE-4E03F38D,485.0,0.0,1700.0,1700.0,Shrubland,Omnivore,,No,Omnivore
AVIBASE-7507BE36,567.5,0.0,300.0,300.0,Forest,Omnivore,SC,No,Omnivore
AVIBASE-41631439,452.5,,,900.0,Woodland,Herbivore,,No,Omnivore
