eBird species code 2019,Com_name,scientific_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
emchum1,Emerald-chinned Hummingbird,abeillia abeillei,nominate,153365741,Hilary Burn,Female,Not specified,,Caprimulgiformes,Trochilidae ,Hummingbirds,0.092,0.022,0.094,0.039,0.0,0.0,0.024,0.029,0.048,0.003,0.01,0.011,0.02,0.153,0.046,0.059,0.032,0.058,0.0,0.0,0.036,0.109,0.02,0.095
emchum1,Emerald-chinned Hummingbird,abeillia abeillei,nominate,153365751,Hilary Burn,Male,Not specified,,Caprimulgiformes,Trochilidae ,Hummingbirds,0.08,0.01,0.089,0.022,0.0,0.001,0.007,0.029,0.068,0.0,0.004,0.011,0.002,0.136,0.014,0.059,0.073,0.045,0.0,0.0,0.096,0.123,0.012,0.119
rufwar1,Rufous-faced Warbler,abroscopus albogularis,nominate,153115771,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.056,0.035,0.062,0.053,0.0,0.035,0.068,0.024,0.029,0.035,0.011,0.054,0.045,0.146,0.039,0.029,0.017,0.026,0.001,0.0,0.035,0.114,0.025,0.061
rufwar1,Rufous-faced Warbler,abroscopus albogularis,fulvifacies,207319811,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.059,0.034,0.058,0.045,0.0,0.026,0.119,0.027,0.025,0.038,0.023,0.008,0.062,0.158,0.043,0.027,0.013,0.028,0.012,0.0,0.042,0.082,0.026,0.045
blfwar1,Black-faced Warbler,abroscopus schisticeps,nominate,153502221,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.073,0.049,0.054,0.049,0.0,0.021,0.046,0.027,0.028,0.0,0.016,0.094,0.039,0.198,0.02,0.023,0.036,0.038,0.0,0.0,0.035,0.072,0.027,0.055
blfwar1,Black-faced Warbler,abroscopus schisticeps,ripponi,207319851,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.089,0.047,0.048,0.069,0.0,0.028,0.069,0.041,0.013,0.0,0.02,0.034,0.048,0.159,0.027,0.03,0.027,0.06,0.0,0.0,0.039,0.057,0.043,0.052
yebwar1,Yellow-bellied Warbler,abroscopus superciliaris,nominate,153115741,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.05,0.082,0.023,0.08,0.0,0.029,0.067,0.038,0.032,0.0,0.019,0.125,0.055,0.186,0.042,0.015,0.004,0.052,0.0,0.0,0.009,0.03,0.045,0.017
yebwar1,Yellow-bellied Warbler,abroscopus superciliaris,vordermani,153502111,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.087,0.068,0.047,0.038,0.0,0.033,0.039,0.028,0.028,0.0,0.023,0.143,0.075,0.174,0.029,0.024,0.01,0.031,0.0,0.0,0.028,0.017,0.04,0.038
yebwar1,Yellow-bellied Warbler,abroscopus superciliaris,euthymus,207319771,Jan Wilczur,Monomorphic,Not specified,,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.111,0.035,0.018,0.054,0.0,0.019,0.042,0.016,0.05,0.0,0.015,0.189,0.04,0.194,0.015,0.042,0.01,0.021,0.0,0.0,0.04,0.017,0.041,0.031
watgua1,Wattled Guan,aburria aburri,nominate,151457891,Francesc Jutglar,Monomorphic,Not specified,,Galliformes,Cracidae ,"Guans, Chachalacas, and Curassows",0.007,0.007,0.049,0.001,0.001,0.007,0.009,0.006,0.007,0.006,0.013,0.0,0.006,0.123,0.0,0.008,0.28,0.02,0.001,0.001,0.321,0.0,0.004,0.123
