eBird species code 2019,Com_name,scientific_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
lesred1,Lesser Redpoll,acanthis cabaret,nominate,153701391,Hilary Burn,Female,Not specified,,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.013,0.094,0.091,0.019,0.0,0.012,0.094,0.078,0.0,0.001,0.027,0.0,0.124,0.162,0.024,0.014,0.019,0.065,0.0,0.0,0.026,0.0,0.078,0.059
lesred1,Lesser Redpoll,acanthis cabaret,nominate,153701401,Hilary Burn,Male,Not specified,,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.032,0.064,0.077,0.034,0.0,0.035,0.046,0.073,0.0,0.001,0.055,0.0,0.072,0.143,0.062,0.023,0.024,0.054,0.006,0.0,0.055,0.0,0.083,0.061
hoared,Hoary Redpoll,acanthis hornemanni,nominate,153701441,Hilary Burn,Female,Not specified,,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.004,0.08,0.052,0.001,0.0,0.001,0.132,0.074,0.0,0.002,0.001,0.0,0.122,0.258,0.001,0.004,0.013,0.067,0.003,0.0,0.036,0.0,0.077,0.072
hoared,Hoary Redpoll,acanthis hornemanni,nominate,153701451,Hilary Burn,Male,Not specified,,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.005,0.089,0.068,0.001,0.0,0.0,0.115,0.084,0.003,0.0,0.002,0.0,0.108,0.184,0.002,0.006,0.029,0.087,0.006,0.0,0.057,0.0,0.074,0.08
afrwar1,African Reed Warbler,acrocephalus baeticatus,nominate,153104631,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Acrocephalidae ,Reed Warblers and Allies,0.065,0.025,0.019,0.1,0.0,0.049,0.073,0.036,0.0,0.0,0.093,0.0,0.052,0.165,0.22,0.024,0.002,0.031,0.0,0.0,0.002,0.002,0.028,0.014
afrwar1,African Reed Warbler,acrocephalus baeticatus,cinnamomeus,153104651,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Acrocephalidae ,Reed Warblers and Allies,0.031,0.044,0.026,0.077,0.0,0.076,0.08,0.052,0.005,0.0,0.11,0.0,0.027,0.174,0.205,0.006,0.001,0.042,0.0,0.0,0.004,0.001,0.024,0.015
blwmin1,Blue-winged Minla,actinodura cyanouroptera,nominate,153512981,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.042,0.097,0.032,0.082,0.068,0.015,0.061,0.06,0.0,0.007,0.021,0.0,0.081,0.176,0.045,0.006,0.008,0.02,0.0,0.052,0.019,0.001,0.068,0.039
blwmin1,Blue-winged Minla,actinodura cyanouroptera,sordidior,153738221,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.023,0.057,0.073,0.005,0.0,0.004,0.091,0.136,0.0,0.0,0.006,0.0,0.078,0.183,0.005,0.002,0.005,0.175,0.0,0.0,0.019,0.0,0.095,0.043
blwmin1,Blue-winged Minla,actinodura cyanouroptera,orientalis,207323291,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.019,0.029,0.073,0.019,0.0,0.066,0.037,0.088,0.0,0.0,0.06,0.0,0.117,0.161,0.02,0.006,0.047,0.109,0.0,0.0,0.057,0.0,0.022,0.07
blwmin1,Blue-winged Minla,actinodura cyanouroptera,nominate,207323331,Ian Lewington,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.035,0.088,0.042,0.079,0.036,0.013,0.077,0.035,0.001,0.006,0.021,0.0,0.075,0.196,0.046,0.016,0.006,0.038,0.001,0.054,0.025,0.002,0.063,0.045
taibar1,Taiwan Barwing,actinodura morrisoniana,nominate,153512971,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.088,0.034,0.027,0.107,0.0,0.001,0.016,0.042,0.012,0.02,0.02,0.0,0.025,0.137,0.061,0.123,0.036,0.048,0.032,0.0,0.068,0.0,0.034,0.069
hotbar1,Hoary-throated Barwing,actinodura nipalensis,nominate,153512921,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.062,0.057,0.025,0.086,0.0,0.004,0.022,0.029,0.007,0.051,0.035,0.0,0.027,0.144,0.06,0.087,0.068,0.021,0.046,0.0,0.079,0.0,0.045,0.045
strbar1,Streaked Barwing,actinodura souliei,nominate,207323261,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.05,0.043,0.028,0.036,0.0,0.023,0.016,0.04,0.038,0.044,0.034,0.0,0.024,0.129,0.04,0.083,0.075,0.03,0.034,0.0,0.124,0.001,0.043,0.065
chtmin1,Chestnut-tailed Minla,actinodura strigula,nominate,153513011,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.019,0.031,0.024,0.05,0.0,0.039,0.021,0.034,0.06,0.053,0.05,0.03,0.042,0.177,0.089,0.02,0.066,0.025,0.033,0.0,0.055,0.001,0.052,0.029
chtmin1,Chestnut-tailed Minla,actinodura strigula,traii,207323381,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.018,0.075,0.022,0.015,0.0,0.038,0.037,0.029,0.051,0.059,0.034,0.096,0.066,0.184,0.033,0.013,0.053,0.017,0.019,0.0,0.042,0.002,0.059,0.038
chtmin1,Chestnut-tailed Minla,actinodura strigula,yunnanensis,207323421,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.011,0.048,0.014,0.013,0.0,0.036,0.037,0.053,0.078,0.037,0.028,0.111,0.042,0.168,0.021,0.017,0.061,0.029,0.023,0.0,0.034,0.0,0.106,0.033
sttbar1,Streak-throated Barwing,actinodura waldeni,daflaensis,153512931,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.039,0.073,0.046,0.065,0.0,0.001,0.056,0.049,0.002,0.043,0.014,0.0,0.07,0.172,0.043,0.038,0.048,0.048,0.021,0.0,0.066,0.0,0.05,0.056
sttbar1,Streak-throated Barwing,actinodura waldeni,nominate,153512941,Hilary Burn,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.028,0.023,0.031,0.06,0.0,0.004,0.019,0.04,0.036,0.153,0.03,0.0,0.014,0.156,0.042,0.046,0.05,0.032,0.081,0.0,0.054,0.0,0.039,0.062
bohsun1,Bohol Sunbird,aethopyga decorosa,nominate,153165001,Hilary Burn,Female,Not specified,,Passeriformes,Nectariniidae ,Sunbirds and Spiderhunters,0.072,0.037,0.019,0.102,0.0,0.151,0.025,0.045,0.0,0.0,0.069,0.0,0.033,0.156,0.102,0.035,0.034,0.035,0.002,0.0,0.023,0.004,0.024,0.032
bohsun1,Bohol Sunbird,aethopyga decorosa,nominate,153165011,Hilary Burn,Male,Not specified,,Passeriformes,Nectariniidae ,Sunbirds and Spiderhunters,0.037,0.049,0.072,0.041,0.044,0.138,0.052,0.03,0.0,0.0,0.027,0.0,0.042,0.129,0.034,0.019,0.064,0.045,0.0,0.026,0.058,0.002,0.031,0.06
mousun1,Mountain Sunbird,aethopyga jefferyi,nominate,153165021,Hilary Burn,Male,Not specified,,Passeriformes,Nectariniidae ,Sunbirds and Spiderhunters,0.042,0.02,0.045,0.038,0.008,0.081,0.025,0.077,0.026,0.0,0.037,0.084,0.038,0.153,0.032,0.012,0.044,0.079,0.002,0.003,0.053,0.001,0.047,0.053
gofful2,Gold-fronted Fulvetta,alcippe variegaticeps,nominate,153123381,Ren Hathway,Monomorphic,Not specified,,Passeriformes,Leiothrichidae ,Laughingthrushes and Allies,0.135,0.017,0.017,0.111,0.0,0.046,0.017,0.021,0.057,0.002,0.069,0.01,0.018,0.193,0.117,0.04,0.018,0.021,0.0,0.0,0.031,0.026,0.017,0.017
brgdov1,Bronze Ground Dove,alopecoenas beccarii,nominate,152845851,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.115,0.014,0.136,0.035,0.0,0.0,0.012,0.041,0.0,0.0,0.0,0.0,0.013,0.158,0.004,0.176,0.005,0.079,0.0,0.0,0.035,0.0,0.014,0.163
brgdov1,Bronze Ground Dove,alopecoenas beccarii,nominate,152845861,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.1,0.05,0.133,0.007,0.0,0.0,0.028,0.04,0.0,0.0,0.0,0.0,0.019,0.194,0.002,0.074,0.017,0.046,0.005,0.0,0.034,0.004,0.104,0.143
brgdov1,Bronze Ground Dove,alopecoenas beccarii,johannae,153385041,Jan Wilczur,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.068,0.042,0.152,0.016,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.014,0.169,0.004,0.191,0.007,0.062,0.002,0.0,0.024,0.0,0.071,0.118
brgdov1,Bronze Ground Dove,alopecoenas beccarii,johannae,153385051,Jan Wilczur,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.07,0.052,0.081,0.01,0.0,0.0,0.025,0.032,0.0,0.0,0.0,0.0,0.042,0.222,0.002,0.16,0.008,0.039,0.003,0.0,0.044,0.0,0.042,0.168
pagdov1,Palau Ground Dove,alopecoenas canifrons,nominate,153385071,John Cox,Monomorphic,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.081,0.06,0.097,0.021,0.0,0.0,0.059,0.013,0.0,0.0,0.0,0.0,0.053,0.193,0.0,0.12,0.012,0.041,0.011,0.0,0.064,0.001,0.013,0.161
pogdov1,Polynesian Ground Dove,alopecoenas erythropterus,nominate,152845811,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.0,0.01,0.043,0.0,0.0,0.0,0.055,0.013,0.0,0.0,0.0,0.0,0.02,0.221,0.0,0.003,0.117,0.02,0.0,0.0,0.24,0.0,0.023,0.235
pogdov1,Polynesian Ground Dove,alopecoenas erythropterus,nominate,153384931,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.009,0.044,0.108,0.013,0.0,0.005,0.007,0.044,0.0,0.0,0.046,0.0,0.004,0.12,0.032,0.047,0.017,0.066,0.0,0.0,0.11,0.0,0.051,0.277
wegdov1,Wetar Ground Dove,alopecoenas hoedtii,nominate,152845711,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.07,0.049,0.035,0.014,0.0,0.029,0.133,0.015,0.0,0.002,0.018,0.0,0.036,0.169,0.01,0.155,0.012,0.012,0.002,0.0,0.091,0.0,0.019,0.129
wegdov1,Wetar Ground Dove,alopecoenas hoedtii,nominate,153384831,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.237,0.004,0.037,0.252,0.0,0.0,0.008,0.01,0.0,0.001,0.001,0.0,0.005,0.15,0.016,0.094,0.016,0.008,0.041,0.0,0.043,0.0,0.008,0.069
wbgdov1,White-bibbed Ground Dove,alopecoenas jobiensis,chalconotus,152845741,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.001,0.009,0.083,0.0,0.001,0.0,0.023,0.013,0.0,0.0,0.0,0.0,0.009,0.196,0.0,0.005,0.088,0.023,0.0,0.009,0.32,0.0,0.01,0.21
wbgdov1,White-bibbed Ground Dove,alopecoenas jobiensis,chalconotus,153384851,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.084,0.005,0.065,0.008,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.008,0.122,0.0,0.033,0.03,0.023,0.0,0.0,0.194,0.0,0.005,0.406
wbgdov1,White-bibbed Ground Dove,alopecoenas jobiensis,nominate,153384871,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.0,0.009,0.109,0.0,0.002,0.0,0.029,0.008,0.0,0.0,0.0,0.0,0.01,0.211,0.0,0.002,0.063,0.031,0.0,0.004,0.26,0.0,0.01,0.252
cigdov1,Caroline Islands Ground Dove,alopecoenas kubaryi,nominate,153384881,John Cox,Monomorphic,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.002,0.013,0.036,0.001,0.0,0.0,0.034,0.011,0.0,0.0,0.0,0.0,0.017,0.277,0.001,0.015,0.1,0.025,0.0,0.001,0.2,0.0,0.011,0.256
margrd1,Marquesas Ground Dove,alopecoenas rubescens,nominate,153384981,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.005,0.006,0.098,0.001,0.0,0.0,0.015,0.034,0.0,0.0,0.0,0.0,0.013,0.139,0.0,0.012,0.016,0.091,0.0,0.0,0.251,0.0,0.008,0.311
margrd1,Marquesas Ground Dove,alopecoenas rubescens,nominate,153384991,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.003,0.012,0.065,0.003,0.0,0.0,0.006,0.062,0.0,0.0,0.0,0.0,0.007,0.152,0.0,0.037,0.119,0.056,0.0,0.0,0.227,0.0,0.034,0.217
tbgdov1,Thick-billed Ground Dove,alopecoenas salamonis,nominate,153730121,John Cox,Monomorphic,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.051,0.015,0.06,0.039,0.0,0.0,0.012,0.016,0.0,0.0,0.013,0.0,0.008,0.145,0.071,0.32,0.029,0.033,0.0,0.0,0.046,0.0,0.018,0.124
scgdov1,Santa Cruz Ground Dove,alopecoenas sanctaecrucis,nominate,152845951,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.04,0.007,0.032,0.053,0.0,0.0,0.009,0.019,0.001,0.028,0.007,0.0,0.005,0.154,0.029,0.047,0.01,0.023,0.039,0.0,0.104,0.0,0.025,0.368
scgdov1,Santa Cruz Ground Dove,alopecoenas sanctaecrucis,nominate,153385091,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.003,0.042,0.094,0.003,0.0,0.029,0.035,0.027,0.0,0.0,0.014,0.0,0.094,0.175,0.006,0.029,0.014,0.048,0.0,0.0,0.101,0.0,0.032,0.254
frgdov1,Shy Ground Dove,alopecoenas stairi,nominate,152846031,John Cox,Male,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.039,0.015,0.081,0.073,0.0,0.003,0.036,0.017,0.0,0.0,0.011,0.0,0.026,0.131,0.063,0.028,0.013,0.034,0.002,0.001,0.074,0.0,0.015,0.338
frgdov1,Shy Ground Dove,alopecoenas stairi,nominate,153385101,John Cox,Female,Not specified,brown morph,Columbiformes,Columbidae ,Pigeons and Doves,0.048,0.009,0.062,0.095,0.0,0.0,0.006,0.023,0.001,0.047,0.001,0.0,0.007,0.137,0.007,0.059,0.007,0.019,0.05,0.0,0.053,0.0,0.01,0.359
wtgdov1,White-throated Ground Dove,alopecoenas xanthonurus,nominate,152845771,John Cox,Female,Not specified,,Columbiformes,Columbidae ,Pigeons and Doves,0.116,0.009,0.035,0.134,0.0,0.0,0.005,0.005,0.0,0.001,0.0,0.0,0.006,0.133,0.01,0.103,0.016,0.008,0.0,0.0,0.103,0.0,0.002,0.314
