avibase_id,Species_name,English_name
AVIBASE-00124D98,Zenaida macroura,Mourning Dove
AVIBASE-00242897,Dicaeum pectorale,Olive-crowned Flowerpecker
AVIBASE-002445CB,Corythaeola cristata,Great Blue Turaco
AVIBASE-0058E798,Illadopsis puveli,Puvel's Illadopsis
AVIBASE-006667E7,Cisticola brunnescens,Pectoral-patch Cisticola
AVIBASE-00855728,Dryoscopus cubla,Black-backed Puffback
AVIBASE-00AF5DA1,Stagonopleura guttata,Diamond Firetail
AVIBASE-00B07B12,Dinemellia dinemelli,White-headed Buffalo-Weaver
AVIBASE-00DA9D91,Larus canus,Mew Gull
AVIBASE-01060BFD,Calidris mauri,Western Sandpiper
AVIBASE-010AC994,Aviceda subcristata,Pacific Baza
AVIBASE-010B758B,Empidonax affinis,Pine Flycatcher
AVIBASE-0116C834,Hirundo nigrita,White-throated Blue Swallow
AVIBASE-0136C1F3,Gallirallus australis,Weka
AVIBASE-0179C599,Phyllanthus atripennis,Capuchin Babbler
AVIBASE-018B3169,Podiceps auritus,Horned Grebe
AVIBASE-0195CFDD,Calamonastes simplex,Grey Wren-Warbler
AVIBASE-019E8CA3,Vidua regia,Queen Whydah
AVIBASE-01A11B3A,Eudyptes schlegeli,Royal Penguin
AVIBASE-01A11B3A,Eudyptes schlegeli,Royal Penguin
AVIBASE-01A3BE3C,Pytilia melba,Green-winged Pytilia
AVIBASE-01BFAE61,Ploceus rubiginosus,Chestnut Weaver
AVIBASE-01C9752D,Campethera caroli,Brown-eared Woodpecker
AVIBASE-01CFA60A,Cisticola anonymus,Chattering Cisticola
AVIBASE-01D755E8,Onychognathus fulgidus,Chestnut-winged Starling
AVIBASE-01FF30C9,Ptilinopus cinctus,Black-backed Fruit-Dove
AVIBASE-0205EDC6,Puffinus assimilis,Little Shearwater
AVIBASE-02091964,Charadrius veredus,Oriental Plover
AVIBASE-020BE546,Phaps elegans,Brush Bronzewing
AVIBASE-02884D9E,Coenocorypha aucklandica,Subantarctic Snipe
AVIBASE-029491CD,Leucosticte tephrocotis,Grey-crowned Rosy-Finch
AVIBASE-02B6A30C,Lanius excubitoroides,Grey-backed Fiscal
AVIBASE-02B9E930,Malurus amabilis,Lovely Fairywren
AVIBASE-02C6C2ED,Eurocephalus anguitimens,White-crowned Shrike
AVIBASE-02E004AD,Dendropicos griseocephalus,Olive Woodpecker
AVIBASE-02E56D98,Campethera nivosa,Buff-spotted Woodpecker
AVIBASE-031409C7,Egretta tricolor,Tricolored Heron
AVIBASE-0337440E,Larus philadelphia,Bonaparte's Gull
AVIBASE-033B53E6,Toxostoma curvirostre,Curve-billed Thrasher
AVIBASE-034B2A6A,Scotopelia peli,Pel's Fishing-Owl
AVIBASE-0386C00C,Aglaeactis castelnaudii,White-tufted Sunbeam
AVIBASE-0394BA0B,Eremomela scotops,Greencap Eremomela
AVIBASE-039BF484,Tetraogallus caspius,Caspian Snowcock
AVIBASE-03A3B616,Netta peposaca,Rosy-billed Pochard
AVIBASE-03AC32BA,Larus glaucescens,Glaucous-winged Gull
AVIBASE-03C4A0C9,Merops albicollis,White-throated Bee-eater
AVIBASE-03CE3B88,Paroaria coronata,Red-crested Cardinal
AVIBASE-03CF8CB5,Pterocles indicus,Painted Sandgrouse
AVIBASE-03D0649C,Charadrius collaris,Collared Plover
AVIBASE-03DE2091,Ploceus philippinus,Baya Weaver
AVIBASE-03F9EB15,Anous tenuirostris,Lesser Noddy
AVIBASE-0413ED30,Arenaria melanocephala,Black Turnstone
AVIBASE-0419DDC2,Gyps africanus,White-backed Vulture
AVIBASE-0431F843,Calliphlox amethystina,Amethyst Woodstar
AVIBASE-043F337A,Passerina cyanea,Indigo Bunting
AVIBASE-044509DA,Aethia pusilla,Least Auklet
AVIBASE-0482FA7E,Chrysococcyx caprius,Dideric Cuckoo
AVIBASE-049D9AEA,Fulmarus glacialis,Northern Fulmar
AVIBASE-04A5B0F9,Phyllastrephus poliocephalus,Grey-headed Greenbul
AVIBASE-04A7ABB7,Anthochaera chrysoptera,Brush Wattlebird
AVIBASE-04D7BC6C,Vidua larvaticola,Baka Indigobird
AVIBASE-04DDADF0,Caprimulgus macrurus,Large-tailed Nightjar
AVIBASE-052BFA8A,Larus melanocephalus,Mediterranean Gull
AVIBASE-05554FAE,Menura alberti,Albert's Lyrebird
AVIBASE-05824D50,Cacomantis variolosus,Brush Cuckoo
AVIBASE-058773E4,Bulweria bulwerii,Bulwer's Petrel
AVIBASE-05AE5DFF,Macronyx flavicollis,Abyssinian Longclaw
AVIBASE-05B8A4F1,Picoides tridactylus,Three-toed Woodpecker
AVIBASE-05E1D079,Gerygone magnirostris,Large-billed Gerygone
AVIBASE-05E2FB2A,Caprimulgus rufigena,Rufous-cheeked Nightjar
AVIBASE-05E5E8F6,Chalcophaps indica,Emerald Dove
AVIBASE-05FF3C9B,Junco hyemalis,Dark-eyed Junco
AVIBASE-0608D05C,Drymodes brunneopygia,Southern Scrub-Robin
AVIBASE-068516BB,Oriolus sagittatus,Olive-backed Oriole
AVIBASE-06AC42C7,Syrrhaptes tibetanus,Tibetan Sandgrouse
AVIBASE-06AC693C,Cyanoramphus unicolor,Antipodes Parakeet
