avibase_id,male_mass,male_mass_sample_size,female_mass,female_mass_sample_size,male_wing_length,male_wing_sample_size,female_wing_length,female_wing_sample_size,male_tarsus_length,male_tarsus_sample_size,female_tarsus_length,female_tarsus_sample_size,male_bill_length,male_bill_sample_size,female_bill_length,female_bill_sample_size,male_tail_length,male_tail_sample_size,female_tail_length,female_tail_sample_size,clutch_size,egg_mass
AVIBASE-2247CB05,115000.00000,,100000.00000,,,,,,,,,,,,,,,,,,,1500.00000
AVIBASE-FD2456D5,32700.00000,,38300.00000,,200.00000,10.00000,203.00000,10.00000,426.00000,11.00000,441.00000,11.00000,59.10000,11.00000,61.90000,11.00000,,,,,8.98000,581.20000
AVIBASE-6BA55EF0,2208.00000,11.00000,2535.00000,26.00000,,,,,69.90000,11.00000,73.30000,15.00000,98.20000,11.00000,129.90000,15.00000,,,,,2.00000,443.00000
AVIBASE-187706CF,1135.00000,51.00000,1351.00000,41.00000,,,,,74.10000,56.00000,79.70000,46.00000,72.00000,27.00000,87.10000,17.00000,,,,,1.00000,285.00000
AVIBASE-0D8B9E40,2610.00000,12.00000,3270.00000,7.00000,,,,,84.90000,7.00000,88.40000,13.00000,96.00000,7.00000,125.80000,13.00000,,,,,1.00000,425.00000
AVIBASE-42D72AE1,1059.00000,,991.00000,,,,,,,,,,,,,,,,,,,61.00000
AVIBASE-39DD9DD7,198.00000,6.00000,235.00000,7.00000,,,,,,,,,,,,,,,,,,20.00000
AVIBASE-5183B60E,418.00000,22.00000,468.00000,18.00000,,,,,,,,,,,,,,,,,,
AVIBASE-4C8BCEC2,475.00000,,577.00000,,,,,,,,,,,,,,,,,,,34.00000
AVIBASE-F4F49CCB,584.00000,106.00000,542.00000,102.00000,210.00000,106.00000,200.00000,102.00000,59.30000,106.00000,56.60000,102.00000,23.30000,106.00000,21.70000,102.00000,233.80000,15.00000,223.10000,13.00000,2.88000,55.00000
AVIBASE-E0BC6A2E,423.00000,,385.00000,,,,,,,,,,,,,,,,,,,63.00000
AVIBASE-E627D25F,,,,,,,,,,,,,,,,,,,,,,
AVIBASE-BA8A14D2,4200.00000,,3685.00000,,,,,,,,,,,,,,,,,,,218.00000
AVIBASE-6BD20F58,2450.00000,27.00000,2210.00000,13.00000,320.70000,35.00000,307.00000,23.00000,123.30000,34.00000,111.20000,23.00000,39.30000,36.00000,36.20000,23.00000,270.20000,6.00000,261.70000,3.00000,14.78000,190.00000
AVIBASE-73651931,1098.00000,5.00000,888.00000,6.00000,269.00000,9.00000,265.00000,6.00000,76.10000,9.00000,73.40000,6.00000,,,,,108.00000,9.00000,111.00000,6.00000,5.50000,129.00000
AVIBASE-BE7FA465,2040.00000,2.00000,1830.00000,4.00000,337.88000,6.00000,325.50000,4.00000,74.80000,5.00000,71.00000,4.00000,27.60000,5.00000,28.20000,4.00000,,,,,18.60000,175.00000
AVIBASE-439AFD40,205.00000,3.00000,183.70000,3.00000,136.00000,8.00000,130.00000,8.00000,34.40000,8.00000,31.60000,8.00000,11.90000,8.00000,11.10000,8.00000,55.50000,8.00000,56.00000,8.00000,10.00000,12.30000
AVIBASE-CD83E49E,,,,,131.00000,12.00000,128.00000,11.00000,33.90000,12.00000,32.30000,10.00000,12.30000,12.00000,11.40000,10.00000,92.30000,12.00000,88.30000,7.00000,10.00000,13.80000
AVIBASE-039BF484,2684.50000,,2343.80000,,303.00000,3.00000,288.00000,3.00000,67.00000,3.00000,61.80000,3.00000,,,,,188.00000,3.00000,176.00000,2.00000,7.50000,75.00000
AVIBASE-44437074,700.00000,,575.00000,,171.00000,8.00000,162.00000,13.00000,46.90000,9.00000,44.50000,13.00000,15.20000,8.00000,13.70000,12.00000,,,,,11.00000,19.70000
AVIBASE-87CBEBF7,536.00000,5.00000,501.00000,4.00000,168.00000,5.00000,154.00000,12.00000,46.80000,5.00000,44.10000,12.00000,15.20000,5.00000,14.30000,12.00000,82.30000,5.00000,78.90000,12.00000,11.50000,22.50000
AVIBASE-D44B2846,,,,,166.00000,15.00000,156.00000,8.00000,45.10000,13.00000,43.10000,8.00000,15.40000,10.00000,14.50000,7.00000,95.10000,13.00000,83.60000,8.00000,12.00000,19.60000
AVIBASE-F71E0BE6,516.00000,7.00000,439.00000,8.00000,165.00000,14.00000,157.00000,9.00000,44.50000,15.00000,41.40000,13.00000,13.90000,11.00000,13.30000,9.00000,93.20000,13.00000,84.40000,13.00000,13.00000,20.10000
AVIBASE-50658B22,487.50000,,425.00000,,177.00000,12.00000,167.00000,7.00000,57.00000,12.00000,52.40000,7.00000,28.60000,12.00000,26.60000,7.00000,92.30000,12.00000,88.30000,7.00000,10.00000,23.50000
