avibase_id,species_latin_key,species_english,species_birdlife,species_ioc,species_ebird,species_avilist,order,family_ioc,family_clements,family_birdlife,family_avilist,genus
AVIBASE-000E026B,Otus everetti,Mindanao Lowland Scops-owl,Otus everetti,Otus everetti,Otus everetti,Otus everetti,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Otus
AVIBASE-00124D98,Zenaida macroura,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida macroura,Zenaida macroura,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Zenaida
AVIBASE-0018A99B,Bubo cinerascens,Greyish Eagle-owl,Bubo cinerascens,Bubo cinerascens,Bubo cinerascens,Bubo cinerascens,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Bubo
AVIBASE-002105C7,Treron sieboldii,White-bellied Green-pigeon,Treron sieboldii,Treron sieboldii,Treron sieboldii,Treron sieboldii,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Treron
AVIBASE-00242897,Dicaeum pectorale,Olive-crowned Flowerpecker,Dicaeum pectorale,Dicaeum pectorale,Dicaeum pectorale,Dicaeum pectorale,Passeriformes,Dicaeidae,Dicaeidae,Dicaeidae,Dicaeidae,Dicaeum
AVIBASE-002445CB,Corythaeola cristata,Great Blue Turaco,Corythaeola cristata,Corythaeola cristata,Corythaeola cristata,Corythaeola cristata,Musophagiformes,Musophagidae,Musophagidae,Musophagidae,Musophagidae,Corythaeola
AVIBASE-0037A14F,Pteruthius aenobarbus,Chestnut-fronted Shrike-babbler,Pteruthius aenobarbus,Pteruthius aenobarbus,Pteruthius aenobarbus,Pteruthius aenobarbus,Passeriformes,Vireonidae,Vireonidae,Vireonidae,Vireonidae,Pteruthius
AVIBASE-0039BCC0,Montifringilla adamsi,Black-winged Snowfinch,Montifringilla adamsi,Montifringilla adamsi,Montifringilla adamsi,Montifringilla adamsi,Passeriformes,Passeridae,Passeridae,Passeridae,Passeridae,Montifringilla
AVIBASE-003BE0C5,Ixobrychus flavicollis,Black Bittern,Ixobrychus flavicollis,Botaurus flavicollis,Botaurus flavicollis,Botaurus flavicollis,Pelecaniformes,Ardeidae,Ardeidae,Ardeidae,Ardeidae,Ixobrychus
AVIBASE-003D8AAD,Prioniturus verticalis,Sulu Racquet-tail,Prioniturus verticalis,Prioniturus verticalis,Prioniturus verticalis,Prioniturus verticalis,Psittaciformes,Psittaculidae,Psittaculidae,Psittacidae,Psittaculidae,Prioniturus
AVIBASE-004AD91D,Accipiter hiogaster,Variable Goshawk,Accipiter hiogaster,Tachyspiza hiogaster,Tachyspiza hiogaster,Tachyspiza hiogaster,Accipitriformes,Accipitridae,Accipitridae,Accipitridae,Accipitridae,Accipiter
AVIBASE-0058E798,Illadopsis puveli,Puvel's Illadopsis,Illadopsis puveli,Illadopsis puveli,Illadopsis puveli,Illadopsis puveli,Passeriformes,Pellorneidae,Pellorneidae,Pellorneidae,Pellorneidae,Illadopsis
AVIBASE-0059A2E0,Chalcomitra senegalensis,Scarlet-chested Sunbird,Chalcomitra senegalensis,Chalcomitra senegalensis,Chalcomitra senegalensis,Chalcomitra senegalensis,Passeriformes,Nectariniidae,Nectariniidae,Nectariniidae,Nectariniidae,Chalcomitra
AVIBASE-00634D72,Passerina rositae,Rose-bellied Bunting,Passerina rositae,Passerina rositae,Passerina rositae,Passerina rositae,Passeriformes,Cardinalidae,Cardinalidae,Cardinalidae,Cardinalidae,Passerina
AVIBASE-00635FF9,Hylatomus pileatus,Pileated Woodpecker,Hylatomus pileatus,Dryocopus pileatus,Dryocopus pileatus,Dryocopus pileatus,Piciformes,Picidae,Picidae,Picidae,Picidae,Hylatomus
AVIBASE-006667E7,Cisticola brunnescens,Pectoral-patch Cisticola,Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens,Passeriformes,Cisticolidae,Cisticolidae,Cisticolidae,Cisticolidae,Cisticola
AVIBASE-007B7943,Pyrrhura leucotis,White-eared Parakeet,Pyrrhura leucotis,Pyrrhura leucotis,Pyrrhura leucotis,Pyrrhura leucotis,Psittaciformes,Psittacidae,Psittacidae,Psittacidae,Psittacidae,Pyrrhura
AVIBASE-00855728,Dryoscopus cubla,Black-backed Puffback,Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,Passeriformes,Malaconotidae,Malaconotidae,Malaconotidae,Malaconotidae,Dryoscopus
AVIBASE-0093A624,Dendropicos dorae,Arabian Woodpecker,Dendropicos dorae,Dendrocoptes dorae,Dendrocoptes dorae,Dendrocoptes dorae,Piciformes,Picidae,Picidae,Picidae,Picidae,Dendropicos
AVIBASE-00945758,Cinclosoma marginatum,Western Quail-thrush,Cinclosoma marginatum,Cinclosoma marginatum,Cinclosoma marginatum,Cinclosoma marginatum,Passeriformes,Cinclosomatidae,Cinclosomatidae,Cinclosomatidae,Cinclosomatidae,Cinclosoma
AVIBASE-00986B24,Rhea americana,Greater Rhea,Rhea americana,Rhea americana,Rhea americana,Rhea americana,Rheiformes,Rheidae,Rheidae,Rheidae,Rheidae,Rhea
AVIBASE-009A3CAA,Herpsilochmus axillaris,Yellow-breasted Antwren,Herpsilochmus axillaris,Herpsilochmus axillaris,Herpsilochmus axillaris,Herpsilochmus axillaris,Passeriformes,Thamnophilidae,Thamnophilidae,Thamnophilidae,Thamnophilidae,Herpsilochmus
AVIBASE-009C0626,Mulleripicus fuliginosus,Southern Sooty Woodpecker,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Piciformes,Picidae,Picidae,Picidae,Picidae,Mulleripicus
AVIBASE-00A4E68D,Microeca hemixantha,Tanimbar Flyrobin,Microeca hemixantha,Microeca hemixantha,Microeca hemixantha,Microeca hemixantha,Passeriformes,Petroicidae,Petroicidae,Petroicidae,Petroicidae,Microeca
AVIBASE-00AECE2A,Prioniturus mada,Buru Racquet-tail,Prioniturus mada,Prioniturus mada,Prioniturus mada,Prioniturus mada,Psittaciformes,Psittaculidae,Psittaculidae,Psittacidae,Psittaculidae,Prioniturus
AVIBASE-00AF5DA1,Stagonopleura guttata,Diamond Firetail,Stagonopleura guttata,Stagonopleura guttata,Stagonopleura guttata,Stagonopleura guttata,Passeriformes,Estrildidae,Estrildidae,Estrildidae,Estrildidae,Stagonopleura
AVIBASE-00B07B12,Dinemellia dinemelli,White-headed Buffalo-Weaver,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Passeriformes,Ploceidae,Ploceidae,Ploceidae,Ploceidae,Dinemellia
AVIBASE-00B132B4,Heliactin bilophus,Horned Sungem,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliactin
AVIBASE-00B39690,Dendrocopos macei,Fulvous-breasted Woodpecker,Dendrocopos macei,Dendrocopos macei,Dendrocopos macei,Dendrocopos macei,Piciformes,Picidae,Picidae,Picidae,Picidae,Dendrocopos
