avibase_id,species_latin_key,order,family,genus,mass_female_min,mass_female_max,mass_male_min,mass_male_max,mass_unsexed_min,mass_unsexed_max,mass_avg,elev_min,elev_norm_min,elev_range,elev_norm_max,elev_max,habitat_primary,diet_primary,diet_invertebrate,diet_fruit,diet_nectar,diet_seed,diet_vertebrate,diet_fish,diet_scavenge,diet_plant,diet_mushroom,diet_sum,nest_type,flightless,migratory,altitudinal_migrant,irregular_migrant,dispersive,sedentary
AVIBASE-2247CB05,Struthio camelus,Struthioniformes,Struthionidae,Struthio,90000.00000,110000.00000,100000.00000,156000.00000,86000.00000,145000.00000,114500.00000,MISSING,0,3000.00000,3000,MISSING,Savanna,Herbivore,1,0,0,3,1,0,0,5,0,10.00000,SC,Yes,MISSING,MISSING,1.00000,MISSING,1.00000
AVIBASE-40329BB6,Struthio molybdophanes,Struthioniformes,Struthionidae,Struthio,100000.00000,MISSING,115000.00000,MISSING,105500.00000,111000.00000,107875.00000,MISSING,0,3000.00000,3000,MISSING,Plains,Herbivore,1,0,0,3,1,0,0,5,0,10.00000,SC,Yes,MISSING,MISSING,1.00000,MISSING,1.00000
AVIBASE-00986B24,Rhea americana,Rheiformes,Rheidae,Rhea,MISSING,MISSING,MISSING,MISSING,10500.00000,40000.00000,25250.00000,MISSING,0,1200.00000,1200,MISSING,Savanna,Plant,0.01,0.06,0,0.89,0.01,0,0,9.01,0.02,10.00000,SC,Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-BA52A675,Rhea pennata,Rheiformes,Rheidae,Rhea,MISSING,MISSING,19100.00000,28600.00000,15000.00000,25000.00000,21925.00000,MISSING,0,4500.00000,4500,MISSING,Plains,Plant,T,T,0,0.6,T,0,0,9.4,0,10.00000,SC,Yes,MISSING,1.00000,MISSING,MISSING,1.00000
AVIBASE-6BA55EF0,Apteryx australis,Apterygiformes,Apterygidae,Apteryx,2060.00000,3850.00000,1440.00000,3060.00000,MISSING,MISSING,2602.50000,MISSING,0,1500.00000,1500,MISSING,Forest,Invertebrate,10,T,0,T,0,0,0,T,0,10.00000,"BU,CV",Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-DB55CB8C,Apteryx mantelli,Apterygiformes,Apterygidae,Apteryx,2060.00000,3850.00000,1440.00000,3060.00000,MISSING,MISSING,2602.50000,MISSING,0,1000.00000,1000,MISSING,Forest,Invertebrate,10,T,0,T,0,0,0,T,0,10.00000,"BU,CV",Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-D433BDAB,Apteryx rowi,Apterygiformes,Apterygidae,Apteryx,1950.00000,3570.00000,1575.00000,2250.00000,MISSING,MISSING,2336.25000,MISSING,0,1000.00000,1000,MISSING,Forest,Invertebrate,10,0,0,0,0,0,0,0,0,10.00000,"BU,CV",Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-187706CF,Apteryx owenii,Apterygiformes,Apterygidae,Apteryx,1000.00000,1950.00000,880.00000,1356.00000,MISSING,MISSING,1296.50000,MISSING,0,1000.00000,1000,MISSING,Forest,Invertebrate,8,1,0,0,0,0,0,1,0,10.00000,"BU,CV",Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-0D8B9E40,Apteryx haastii,Apterygiformes,Apterygidae,Apteryx,1530.00000,3270.00000,1215.00000,2610.00000,MISSING,MISSING,2156.25000,0,700,400.00000,1100,1500,Grassland,Invertebrate,8,1,0,0,0,0,0,1,0,10.00000,"BU,CV",Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-8B9D93D8,Casuarius casuarius,Casuariiformes,Casuariidae,Casuarius,58500.00000,MISSING,29200.00000,34100.00000,65000.00000,MISSING,46700.00000,MISSING,0,500.00000,500,1200,Forest,Fruit,T,6,0,3,T,T,T,0,1,10.00000,PL,Yes,MISSING,MISSING,1.00000,MISSING,1.00000
AVIBASE-7751E0D1,Casuarius bennetti,Casuariiformes,Casuariidae,Casuarius,MISSING,MISSING,MISSING,MISSING,17600.00000,35000.00000,26300.00000,MISSING,0,3300.00000,3300,3600,Forest,Fruit,1,6,0,1,1,0,0,0,1,10.00000,SC,Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-32E7303B,Casuarius unappendiculatus,Casuariiformes,Casuariidae,Casuarius,58000.00000,MISSING,36600.00000,MISSING,46073.00000,47300.00000,46993.25000,MISSING,0,700.00000,700,MISSING,Forest,Fruit,1,7,0,0,1,0,0,0,1,10.00000,SC,Yes,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-FD2456D5,Dromaius novaehollandiae,Casuariiformes,Casuariidae,Dromaius,MISSING,MISSING,MISSING,MISSING,30000.00000,55000.00000,42500.00000,MISSING,0,1600.00000,1600,MISSING,Savanna,Omnivore,2,2,0,3,0,0,0,2,1,10.00000,SC,Yes,MISSING,MISSING,1.00000,MISSING,1.00000
AVIBASE-346D16D5,Tinamus tao,Tinamiformes,Tinamidae,Tinamus,1430.00000,2080.00000,1325.00000,1863.00000,MISSING,MISSING,1674.50000,MISSING,50,1850.00000,1900,MISSING,Forest,Fruit,2,6,0,2,T,0,0,0,0,10.00000,SC,No,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-67E5E0FA,Tinamus solitarius,Tinamiformes,Tinamidae,Tinamus,1300.00000,1900.00000,1014.00000,1500.00000,MISSING,MISSING,1428.50000,MISSING,0,1200.00000,1200,MISSING,Forest,Omnivore,2,2,0,3,1,0,0,2,0,10.00000,SC,No,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-63C5F122,Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamus,MISSING,MISSING,1285.00000,MISSING,1500.00000,MISSING,1392.50000,MISSING,600,1500.00000,2100,MISSING,Forest,Herbivore,2,5,0,3,0,0,0,0,0,10.00000,MISSING,No,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-42D72AE1,Tinamus major,Tinamiformes,Tinamidae,Tinamus,945.00000,1240.00000,700.00000,1142.00000,MISSING,MISSING,1006.75000,MISSING,0,1500.00000,1500,MISSING,Forest,Herbivore,1,4,0,4,1,0,0,0,0,10.00000,SC,No,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-0480B7C9,Tinamus guttatus,Tinamiformes,Tinamidae,Tinamus,680.00000,800.00000,623.00000,652.00000,MISSING,MISSING,688.75000,MISSING,0,500.00000,500,1100,Forest,Seed,2,0,0,8,0,0,0,0,0,10.00000,MISSING,No,MISSING,MISSING,MISSING,MISSING,1.00000
AVIBASE-66C31E09,Nothocercus bonapartei,Tinamiformes,Tinamidae,Nothocercus,455.00000,1050.00000,500.00000,844.00000,MISSING,MISSING,712.25000,500,1500,1000.00000,2500,3075,Forest,Fruit,1,7,0,0,2,0,0,0,0,10.00000,SC,No,MISSING,MISSING,MISSING,MISSING,1.00000
