avibase_id,species_birdlife,species_ebird,species_birdtree,family_birdlife,order_birdlife,family_ebird,order_ebird,family_birdtree,order_birdtree
AVIBASE-000E026B,Otus everetti,Otus everetti,Otus megalotis,Strigidae,Strigiformes,Strigidae,Strigiformes,Strigidae,Strigiformes
AVIBASE-00124D98,Zenaida macroura,Zenaida macroura,Zenaida macroura,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-00146574,MISSING,Treron calvus,Treron calvus,MISSING,MISSING,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-0018A99B,Bubo cinerascens,Bubo cinerascens,Bubo cinerascens,Strigidae,Strigiformes,Strigidae,Strigiformes,Strigidae,Strigiformes
AVIBASE-002105C7,Treron sieboldii,Treron sieboldii,Treron sieboldii,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-00242897,Dicaeum pectorale,Dicaeum pectorale,Dicaeum pectorale,Dicaeidae,Passeriformes,Dicaeidae,Passeriformes,Dicaeidae,Passeriformes
AVIBASE-002445CB,Corythaeola cristata,Corythaeola cristata,Corythaeola cristata,Musophagidae,Musophagiformes,Musophagidae,Musophagiformes,Musophagidae,Musophagiformes
AVIBASE-0037A14F,Pteruthius aenobarbus,Pteruthius intermedius,Pteruthius aenobarbus,MISSING,MISSING,Vireonidae,Passeriformes,Timaliidae,Passeriformes
AVIBASE-0039BCC0,Montifringilla adamsi,Montifringilla adamsi,Montifringilla adamsi,Passeridae,Passeriformes,Passeridae,Passeriformes,Passeridae,Passeriformes
AVIBASE-003BE0C5,Ixobrychus flavicollis,Ixobrychus flavicollis,Ixobrychus flavicollis,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes
AVIBASE-003D8AAD,Prioniturus verticalis,Prioniturus verticalis,Prioniturus verticalis,Psittacidae,Psittaciformes,Psittaculidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-004AD91D,Accipiter hiogaster,Accipiter hiogaster,Accipiter novaehollandiae,MISSING,MISSING,MISSING,MISSING,Accipitridae,Accipitriformes
AVIBASE-0058E798,Illadopsis puveli,Illadopsis puveli,Illadopsis puveli,Pellorneidae,Passeriformes,Pellorneidae,Passeriformes,Timaliidae,Passeriformes
AVIBASE-0059A2E0,Chalcomitra senegalensis,Chalcomitra senegalensis,Nectarinia senegalensis,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes
AVIBASE-00634D72,Passerina rositae,Passerina rositae,Passerina rositae,Cardinalidae,Passeriformes,Cardinalidae,Passeriformes,Emberizidae,Passeriformes
AVIBASE-00635FF9,Hylatomus pileatus,Dryocopus pileatus,Dryocopus pileatus,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-006667E7,Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes
AVIBASE-007B7943,Pyrrhura leucotis,Pyrrhura leucotis,Pyrrhura leucotis,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-00855728,Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes
AVIBASE-0093A624,Dendropicos dorae,Dendrocoptes dorae,Dendrocopos dorae,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-00945758,Cinclosoma marginatum,Cinclosoma marginatum,Cinclosoma castaneothorax,Cinclosomatidae,Passeriformes,Cinclosomatidae,Passeriformes,Cinclosomatidae,Passeriformes
AVIBASE-00986B24,Rhea americana,Rhea americana,Rhea americana,Rheidae,Struthioniformes,Rheidae,Rheiformes,Rheidae,Rheiformes
AVIBASE-009A3CAA,Herpsilochmus axillaris,Herpsilochmus axillaris,Herpsilochmus axillaris,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes
AVIBASE-009C0626,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Mulleripicus funebris,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-00A4E68D,Microeca hemixantha,Microeca hemixantha,Microeca hemixantha,Petroicidae,Passeriformes,Petroicidae,Passeriformes,Petroicidae,Passeriformes
AVIBASE-00AECE2A,Prioniturus mada,Prioniturus mada,Prioniturus mada,Psittacidae,Psittaciformes,Psittaculidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-00AF5DA1,Stagonopleura guttata,Stagonopleura guttata,Stagonopleura guttata,Estrildidae,Passeriformes,Estrildidae,Passeriformes,Estrildidae,Passeriformes
AVIBASE-00B07B12,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Ploceidae,Passeriformes,Ploceidae,Passeriformes,Ploceidae,Passeriformes
AVIBASE-00B132B4,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Trochilidae,Caprimulgiformes,Trochilidae,Caprimulgiformes,Trochilidae,Apodiformes
AVIBASE-00B39690,Dendrocopos macei,Dendrocopos macei,Dendrocopos macei,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-00BBD4CF,Falco subniger,Falco subniger,Falco subniger,Falconidae,Falconiformes,Falconidae,Falconiformes,Falconidae,Falconiformes
AVIBASE-00C6FC90,Pteruthius xanthochlorus,Pteruthius xanthochlorus,Pteruthius xanthochlorus,Vireonidae,Passeriformes,Vireonidae,Passeriformes,Timaliidae,Passeriformes
AVIBASE-00CCDD79,Piculus aurulentus,Piculus aurulentus,Piculus aurulentus,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-00D11273,Nesophlox evelynae,Nesophlox evelynae,Calliphlox evelynae,Trochilidae,Caprimulgiformes,Trochilidae,Caprimulgiformes,Trochilidae,Apodiformes
AVIBASE-00DA9D91,Larus canus,Larus canus,Larus canus,MISSING,MISSING,Laridae,Charadriiformes,Laridae,Charadriiformes
AVIBASE-00DDD5CE,Phylloscartes parkeri,Phylloscartes parkeri,Phylloscartes parkeri,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes
AVIBASE-00DF0484,Edolisoma incertum,Edolisoma incertum,Coracina incerta,Campephagidae,Passeriformes,Campephagidae,Passeriformes,Campephagidae,Passeriformes
AVIBASE-00E090F8,Fregata aquila,Fregata aquila,Fregata aquila,Fregatidae,Suliformes,Fregatidae,Suliformes,Fregatidae,Suliformes
AVIBASE-00F880FA,Dasylophus superciliosus,Dasylophus superciliosus,Phaenicophaeus superciliosus,Cuculidae,Cuculiformes,Cuculidae,Cuculiformes,Cuculidae,Cuculiformes
AVIBASE-01060BFD,Calidris mauri,Calidris mauri,Calidris mauri,Scolopacidae,Charadriiformes,Scolopacidae,Charadriiformes,Scolopacidae,Charadriiformes
AVIBASE-010AC994,Aviceda subcristata,Aviceda subcristata,Aviceda subcristata,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes
AVIBASE-010B758B,Empidonax affinis,Empidonax affinis,Empidonax affinis,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes
AVIBASE-0116C834,Hirundo nigrita,Hirundo nigrita,Hirundo nigrita,Hirundinidae,Passeriformes,Hirundinidae,Passeriformes,Hirundinidae,Passeriformes
AVIBASE-011A5D07,Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,Monarchidae,Passeriformes,Monarchidae,Passeriformes,Monarchidae,Passeriformes
AVIBASE-011EB942,Laterallus albigularis,Laterallus albigularis,Laterallus albigularis,Rallidae,Gruiformes,Rallidae,Gruiformes,Rallidae,Gruiformes
AVIBASE-012084A9,Nystalus striolatus,Nystalus obamai,Nystalus striolatus,MISSING,MISSING,Bucconidae,Galbuliformes,Bucconidae,Piciformes
AVIBASE-01280CF8,Scytalopus alvarezlopezi,Scytalopus alvarezlopezi,Scytalopus robbinsi,Rhinocryptidae,Passeriformes,Rhinocryptidae,Passeriformes,Rhinocryptidae,Passeriformes
AVIBASE-0133C47B,Laniarius sublacteus,Laniarius sublacteus,Laniarius aethiopicus,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes
AVIBASE-013420E1,Carpodacus rodopeplus,Carpodacus rodopeplus,Carpodacus rodopeplus,Fringillidae,Passeriformes,Fringillidae,Passeriformes,Fringillidae,Passeriformes
AVIBASE-0134A6D7,Callacanthis burtoni,Callacanthis burtoni,Callacanthis burtoni,Fringillidae,Passeriformes,Fringillidae,Passeriformes,Fringillidae,Passeriformes
AVIBASE-0136C1F3,Gallirallus australis,Gallirallus australis,Gallirallus australis,Rallidae,Gruiformes,Rallidae,Gruiformes,Rallidae,Gruiformes
AVIBASE-01391B1A,Aceros nipalensis,Aceros nipalensis,Aceros nipalensis,Bucerotidae,Bucerotiformes,Bucerotidae,Bucerotiformes,Bucerotidae,Bucerotiformes
AVIBASE-013B2B0B,Chauna chavaria,Chauna chavaria,Chauna chavaria,Anhimidae,Anseriformes,Anhimidae,Anseriformes,Anhimidae,Anseriformes
AVIBASE-013E99A8,Knipolegus striaticeps,Knipolegus striaticeps,Knipolegus striaticeps,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes
AVIBASE-01450385,Premnoplex tatei,Premnoplex tatei,Premnoplex tatei,Furnariidae,Passeriformes,MISSING,MISSING,Furnariidae,Passeriformes
AVIBASE-0145FE4C,Sipia laemosticta,Sipia laemosticta,Myrmeciza laemosticta,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes
AVIBASE-0147433E,Rowettia goughensis,Rowettia goughensis,Rowettia goughensis,Thraupidae,Passeriformes,Thraupidae,Passeriformes,Emberizidae,Passeriformes
AVIBASE-014F2462,Caprimulgus affinis,Caprimulgus affinis,Caprimulgus affinis,Caprimulgidae,Caprimulgiformes,Caprimulgidae,Caprimulgiformes,Caprimulgidae,Caprimulgiformes
AVIBASE-0150666B,Locustella pryeri,Helopsaltes pryeri,Locustella pryeri,Locustellidae,Passeriformes,Locustellidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-015533E2,Phoenicurus hodgsoni,Phoenicurus hodgsoni,Phoenicurus hodgsoni,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes
AVIBASE-015542ED,Sylvia nigricapillus,Sylvia nigricapillus,Lioptilus nigricapillus,Sylviidae,Passeriformes,Sylviidae,Passeriformes,Timaliidae,Passeriformes
AVIBASE-0158561B,Prunella rubeculoides,Prunella rubeculoides,Prunella rubeculoides,Prunellidae,Passeriformes,Prunellidae,Passeriformes,Prunellidae,Passeriformes
AVIBASE-0161CAAD,Myrmoderus loricatus,Myrmoderus loricatus,Myrmeciza loricata,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes
AVIBASE-0165D38B,Henicophaps foersteri,Henicophaps foersteri,Henicophaps foersteri,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-0179C599,Phyllanthus atripennis,Turdoides atripennis,Phyllanthus atripennis,Leiotrichidae,Passeriformes,MISSING,MISSING,Timaliidae,Passeriformes
AVIBASE-01877F66,Xenopirostris polleni,Xenopirostris polleni,Xenopirostris polleni,Vangidae,Passeriformes,Vangidae,Passeriformes,Vangidae,Passeriformes
AVIBASE-018B3169,Podiceps auritus,Podiceps auritus,Podiceps auritus,Podicipedidae,Podicipediformes,Podicipedidae,Podicipediformes,Podicipedidae,Podicipediformes
AVIBASE-01907039,Pachycephala griseonota,Pachycephala griseonota,Pachycephala griseonota,Pachycephalidae,Passeriformes,Pachycephalidae,Passeriformes,Pachycephalidae,Passeriformes
AVIBASE-0190A968,Apalis flavigularis,Apalis flavigularis,Apalis flavigularis,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes
AVIBASE-0195424E,Tesia superciliaris,Tesia superciliaris,Tesia superciliaris,Scotocercidae,Passeriformes,Scotocercidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-0195CFDD,Calamonastes simplex,Calamonastes simplex,Camaroptera simplex,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes
AVIBASE-0199E134,Rhipidura semirubra,Rhipidura semirubra,Rhipidura semirubra,Rhipiduridae,Passeriformes,Rhipiduridae,Passeriformes,Rhipiduridae,Passeriformes
AVIBASE-019CD871,Coeligena dichroura,Coeligena violifer,Coeligena violifer,Trochilidae,Caprimulgiformes,MISSING,MISSING,Trochilidae,Apodiformes
AVIBASE-019E8CA3,Vidua regia,Vidua regia,Vidua regia,Viduidae,Passeriformes,Viduidae,Passeriformes,Viduidae,Passeriformes
AVIBASE-01A11B3A,Eudyptes schlegeli,Eudyptes schlegeli,Eudyptes schlegeli,Spheniscidae,Sphenisciformes,Spheniscidae,Sphenisciformes,Spheniscidae,Sphenisciformes
AVIBASE-01A38979,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,Cracidae,Galliformes,Cracidae,Galliformes,Cracidae,Galliformes
AVIBASE-01A3BE3C,Pytilia melba,Pytilia melba,Pytilia melba,Estrildidae,Passeriformes,Estrildidae,Passeriformes,Estrildidae,Passeriformes
AVIBASE-01BB9F45,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Furnariidae,Passeriformes,Furnariidae,Passeriformes,Furnariidae,Passeriformes
AVIBASE-01BC8E6F,Spinus olivaceus,Spinus olivaceus,Carduelis olivacea,Fringillidae,Passeriformes,Fringillidae,Passeriformes,Fringillidae,Passeriformes
AVIBASE-01BFAE61,Ploceus rubiginosus,Ploceus rubiginosus,Ploceus rubiginosus,Ploceidae,Passeriformes,Ploceidae,Passeriformes,Ploceidae,Passeriformes
AVIBASE-01C20C03,Pomarea whitneyi,Pomarea whitneyi,Pomarea whitneyi,Monarchidae,Passeriformes,Monarchidae,Passeriformes,Monarchidae,Passeriformes
AVIBASE-01C2BBD4,Cichlopsis gularis,Cichlopsis leucogenys,Cichlopsis leucogenys,Turdidae,Passeriformes,MISSING,MISSING,Turdidae,Passeriformes
AVIBASE-01C9752D,Campethera caroli,Campethera caroli,Campethera caroli,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-01CFA60A,Cisticola anonymus,Cisticola anonymus,Cisticola anonymus,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes
AVIBASE-01D478BD,Ixidia erythropthalmos,Rubigula erythropthalmos,Pycnonotus erythropthalmos,Pycnonotidae,Passeriformes,Pycnonotidae,Passeriformes,Pycnonotidae,Passeriformes
AVIBASE-01D755E8,Onychognathus fulgidus,Onychognathus fulgidus,Onychognathus fulgidus,Sturnidae,Passeriformes,Sturnidae,Passeriformes,Sturnidae,Passeriformes
AVIBASE-01EAB134,Dicaeum bicolor,Dicaeum bicolor,Dicaeum bicolor,Dicaeidae,Passeriformes,Dicaeidae,Passeriformes,Dicaeidae,Passeriformes
AVIBASE-01EFFC14,Stiphrornis xanthogaster,Stiphrornis erythrothorax,Stiphrornis erythrothorax,MISSING,MISSING,MISSING,MISSING,Muscicapidae,Passeriformes
AVIBASE-01FE1D04,Pardirallus nigricans,Pardirallus nigricans,Pardirallus nigricans,Rallidae,Gruiformes,Rallidae,Gruiformes,Rallidae,Gruiformes
AVIBASE-01FF30C9,Ptilinopus cinctus,Ptilinopus cinctus,Ptilinopus cinctus,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-0203FCD8,Aphanotriccus capitalis,Aphanotriccus capitalis,Aphanotriccus capitalis,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes,Tyrannidae,Passeriformes
AVIBASE-020464B6,Treron formosae,Treron formosae,Treron formosae,Columbidae,Columbiformes,MISSING,MISSING,Columbidae,Columbiformes
AVIBASE-020537E1,Pharomachrus pavoninus,Pharomachrus pavoninus,Pharomachrus pavoninus,MISSING,MISSING,Trogonidae,Trogoniformes,Trogonidae,Trogoniformes
AVIBASE-0205EDC6,Puffinus assimilis,Puffinus assimilis,Puffinus assimilis,Procellariidae,Procellariiformes,Procellariidae,Procellariiformes,Procellariidae,Procellariiformes
AVIBASE-02091964,Charadrius veredus,Charadrius veredus,Charadrius veredus,Charadriidae,Charadriiformes,Charadriidae,Charadriiformes,Charadriidae,Charadriiformes
AVIBASE-020BE546,Phaps elegans,Phaps elegans,Phaps elegans,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-020E6199,Cacicus haemorrhous,Cacicus haemorrhous,Cacicus haemorrhous,Icteridae,Passeriformes,Icteridae,Passeriformes,Icteridae,Passeriformes
AVIBASE-0223FDB1,Brotogeris sanctithomae,Brotogeris sanctithomae,Brotogeris sanctithomae,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-0224509A,Aulacorhynchus huallagae,Aulacorhynchus huallagae,Aulacorhynchus huallagae,Ramphastidae,Piciformes,Ramphastidae,Piciformes,Ramphastidae,Piciformes
AVIBASE-022798AB,Tchagra senegalus,Tchagra senegalus,Tchagra senegalus,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes,Malaconotidae,Passeriformes
AVIBASE-0232E9DC,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Phaeothlypis fulvicauda,Parulidae,Passeriformes,Parulidae,Passeriformes,Parulidae,Passeriformes
AVIBASE-0239BBFC,Caryothraustes canadensis,Caryothraustes canadensis,Caryothraustes canadensis,Cardinalidae,Passeriformes,Cardinalidae,Passeriformes,Cardinalidae,Passeriformes
AVIBASE-023D6E38,Ptilopsis granti,Ptilopsis granti,Ptilopsis granti,Strigidae,Strigiformes,Strigidae,Strigiformes,Strigidae,Strigiformes
AVIBASE-02428AC1,Bycanistes subcylindricus,Bycanistes subcylindricus,Bycanistes subcylindricus,Bucerotidae,Bucerotiformes,Bucerotidae,Bucerotiformes,Bucerotidae,Bucerotiformes
AVIBASE-024383AA,Eubucco steerii,Eubucco versicolor,Eubucco versicolor,Capitonidae,Piciformes,MISSING,MISSING,Ramphastidae,Piciformes
AVIBASE-024EB09F,Megascops vermiculatus,Megascops guatemalae,Megascops guatemalae,MISSING,MISSING,Strigidae,Strigiformes,Strigidae,Strigiformes
AVIBASE-0251A809,Phytotoma raimondii,Phytotoma raimondii,Phytotoma raimondii,Cotingidae,Passeriformes,Cotingidae,Passeriformes,Cotingidae,Passeriformes
AVIBASE-0254B25D,Graminicola striatus,Graminicola striatus,Graminicola bengalensis,Pellorneidae,Passeriformes,Pellorneidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-0269AE28,Hypotaenidia woodfordi,Gallirallus woodfordi,Nesoclopeus woodfordi,Rallidae,Gruiformes,MISSING,MISSING,Rallidae,Gruiformes
AVIBASE-026B8797,Sporophila hypochroma,Sporophila hypochroma,Sporophila hypochroma,Thraupidae,Passeriformes,Thraupidae,Passeriformes,Emberizidae,Passeriformes
AVIBASE-027CD8FC,Pipreola pulchra,Pipreola pulchra,Pipreola pulchra,Cotingidae,Passeriformes,Cotingidae,Passeriformes,Cotingidae,Passeriformes
AVIBASE-0283EBE3,Semnornis ramphastinus,Semnornis ramphastinus,Semnornis ramphastinus,Semnornithidae,Piciformes,Semnornithidae,Piciformes,Ramphastidae,Piciformes
AVIBASE-02884D9E,Coenocorypha aucklandica,Coenocorypha aucklandica,Coenocorypha aucklandica,Scolopacidae,Charadriiformes,Scolopacidae,Charadriiformes,Scolopacidae,Charadriiformes
AVIBASE-028FCD4B,Eclectus polychloros,Eclectus roratus,Eclectus roratus,Psittacidae,Psittaciformes,MISSING,MISSING,Psittacidae,Psittaciformes
AVIBASE-029491CD,Leucosticte tephrocotis,Leucosticte tephrocotis,Leucosticte tephrocotis,Fringillidae,Passeriformes,Fringillidae,Passeriformes,Fringillidae,Passeriformes
AVIBASE-02A59CEE,Pseudasthenes steinbachi,Pseudasthenes steinbachi,Asthenes steinbachi,Furnariidae,Passeriformes,Furnariidae,Passeriformes,Furnariidae,Passeriformes
AVIBASE-02B06535,Anthobaphes violacea,Anthobaphes violacea,Nectarinia violacea,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes
AVIBASE-02B6A30C,Lanius excubitoroides,Lanius excubitoroides,Lanius excubitoroides,Laniidae,Passeriformes,Laniidae,Passeriformes,Laniidae,Passeriformes
AVIBASE-02B81454,Circus maillardi,Circus maillardi,Circus maillardi,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes
AVIBASE-02B9E930,Malurus amabilis,Malurus amabilis,Malurus amabilis,Maluridae,Passeriformes,Maluridae,Passeriformes,Maluridae,Passeriformes
AVIBASE-02BA43E4,Aethopyga nipalensis,Aethopyga nipalensis,Aethopyga nipalensis,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes,Nectariniidae,Passeriformes
AVIBASE-02BAFB6D,Hylophilus flavipes,Hylophilus flavipes,Hylophilus flavipes,Vireonidae,Passeriformes,MISSING,MISSING,Vireonidae,Passeriformes
AVIBASE-02BE4F8A,Lophotis ruficrista,Eupodotis ruficrista,Eupodotis ruficrista,Otididae,Otidiformes,Otididae,Otidiformes,Otididae,Otidiformes
AVIBASE-02C13BB0,Aratinga weddellii,Aratinga weddellii,Aratinga weddellii,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-02C6C2ED,Eurocephalus anguitimens,Eurocephalus anguitimens,Eurocephalus anguitimens,Laniidae,Passeriformes,Laniidae,Passeriformes,Laniidae,Passeriformes
AVIBASE-02C91A31,Ficedula timorensis,Ficedula timorensis,Ficedula timorensis,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes
