enter_order,species_jetz,family_jetz,tax_jetz,obs,flag,page_ritland,order_ritland,family_ritland,genus_ritland,species_ritland,O,S,OAL,OAL_LET,HBL,HBL_LET,HW,HW_LET,WING,WING_LET,BILL,BILL_LET,CD1,CD1_LET,CD2,CD2_LET,AD,AD_LET,TD1,TD1_LET,TD2,TD2_LET,WEIGHT,WEIGHT_LET,CT,CT_LET,EYED,EYED_LET,group
481,Casuarius bennetti,Casuariidae,46,BJG,,1433,Casuariiformes,Casuaridae,Casuarius,bennetti,U,A,1500,NA,1300,B,75,NA,300,B,76,NA,16.8,NA,15.1,NA,28.2,NA,35,NA,34.8,NA,75000,NA,45,NA,18,NA,Terrestrial
482,Casuarius casuarius,Casuariidae,45,BJG,,1433,Casuariiformes,Casuariidae,Casuarius,casuarius,D,B,640,NA,640,NA,90,NA,50,B,64,NA,18.8,NA,18.8,NA,32.3,NA,42.8,NA,42.8,NA,NA,NA,43,NA,209,NA,Terrestrial
483,Casuarius casuarius,Casuariidae,45,BJG,,1433,Casuariiformes,Casuaridae,Casuarius,casuarius,U,A,1400,NA,1100,NA,80,NA,300,B,80,NA,16.3,NA,16.3,NA,33.3,B,40.8,NA,39.8,B,75000,NA,40,NA,103,NA,Terrestrial
3033,Rhea americana,Rheidae,37,BJG,,1433,Rheiformes,Rheidae,Rhea,americana,D,A,1400,NA,1300,B,78,NA,650,B,90,NA,16.6,NA,15.4,NA,31.8,NA,42.8,NA,36,NA,22048.5,NA,40,NA,71,NA,Terrestrial
3034,Rhea americana,Rheidae,37,BJG,,1433,Rheiformes,Rheidae,Rhea,americana,D,C,90,NA,90,NA,12,NA,17,NA,13,NA,4.9,NA,4.9,NA,9.8,NA,14.1,NA,12.4,NA,NA,NA,36,NA,123,NA,Terrestrial
3035,Rhea americana,Rheidae,37,BJG,,1433,Rheiformes,Rheidae,Rhea,americana,G,M,1400,NA,1300,B,78,NA,650,B,85,NA,16.8,NA,16.1,A,32.8,A,40.7,NA,35.2,A,22048.5,NA,43,NA,54,NA,Terrestrial
3036,Rhea americana,Rheidae,37,BJG,,1433,Rheiformes,Rheidae,Rhea,americana,U,B,1200,NA,1200,NA,68,NA,400,B,68,NA,17.8,NA,16.5,NA,32,NA,40.2,NA,35.1,NA,NA,NA,45,NA,60,NA,Terrestrial
3037,Rhea americana,Rheidae,37,BJG,,1433,Rheiformes,Rheidae,Rhea,americana,U,B,1200,NA,1200,B,68,NA,400,B,63,NA,19,NA,17.2,NA,33.3,B,42.2,NA,37.2,NA,NA,NA,45,NA,92,NA,Terrestrial
3038,Rhea pennata,Rheidae,38,BJG,,1433,Rheiformes,Rheidae,Pterocnemia,pennata,U,B,250,NA,245,NA,29,NA,50,NA,23,NA,7.4,NA,7.4,NA,14,NA,19.1,NA,17.2,NA,NA,NA,40,NA,1,NA,Terrestrial
3039,Rhea pennata,Rheidae,38,BJG,,1433,Rheiformes,Rheidae,Pterocnemia,pennata,U,B,215,NA,215,NA,27,NA,35,NA,21,NA,7.7,NA,7.7,NA,14.8,NA,19.4,NA,17.2,NA,NA,NA,42,NA,32,NA,Terrestrial
