avibase_id,beak_culmen,beak_culmen_m,beak_culmen_f,beak_nares,beak_nares_m,beak_nares_f,beak_width,beak_width_m,beak_width_f,beak_depth,beak_depth_m,beak_depth_f,tarsus,tarsus_m,tarsus_f,wing_len,wing_len_m,wing_len_f,kipps,kipps_m,kipps_f,secondary,secondary_m,secondary_f,hand_wing_index,hand_wing_index_m,hand_wing_index_f,tail_len,tail_len_m,tail_len_f,sample_size,sample_size_f,sample_size_m,mass,mass_source,inference,habitat,habitat_density,migration,primary_diet,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB,in_avonet,in_birdbase
AVIBASE-000E026B,25.4,,25.4,12.9,,12.9,6.5,,6.5,11.6,,11.6,33.6,34.0,33.2,164.0,,164.0,36.5,,36.5,127.5,,127.5,22.3,,22.3,51.4,,51.4,2.0,1.0,1.0,125.0,Updated_literature,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.56,12.59,8.39,124.81,119572.02,144.25,0.0,1550.0,1550.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-00124D98,19.57333,19.9,18.7,9.28333,9.3,8.5,2.73333,2.6,2.7,3.38333,3.36667,3.1,19.58667,19.92857,19.7,144.38571,146.66667,137.8,53.07692,55.9,48.64,91.64615,90.76667,89.16,36.59231,38.0,35.26,122.15,130.33333,117.8,15.0,5.0,7.0,118.9,Dunning,NO,Human Modified,3.0,1.0,Herbivore,Granivore,Terrestrial,7.45,56.32,39.64,-99.32,11131808.01,127.0,0.0,2500.0,2500.0,Grassland,Herbivore,,No,Granivore,True,True
AVIBASE-00146574,26.8,26.8,,,,,7.2,7.2,,8.5,8.5,,25.1,25.1,,164.0,164.0,,,,,,,,,,,99.0,99.0,,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,,,,,,,,,,True,False
AVIBASE-0018A99B,36.98,36.1,37.56667,18.25,17.8,18.7,11.56,11.1,11.86667,17.15,16.55,17.75,63.325,62.25,64.4,299.4,289.5,306.0,98.2,95.0,101.4,200.55,194.5,206.6,32.9,32.85,32.95,161.8,161.0,162.33333,5.0,3.0,2.0,500.0,Dunning,NO,Rock,2.0,1.0,Carnivore,Vertivore,Insessorial,-2.41,20.0,10.5,18.05,9679896.35,500.0,,,2500.0,Desert,Carnivore,"O,SC",No,Vertivore,True,True
AVIBASE-002105C7,22.71818,23.02222,21.35,11.3,11.6125,10.05,5.1,5.13333,4.95,5.59091,5.66667,5.25,23.34545,23.42222,23.0,182.63636,182.44444,183.5,68.59,67.1,74.55,113.71,114.9,108.95,37.58,36.825,40.6,118.0,120.44444,107.0,11.0,2.0,9.0,245.0,Dunning,NO,Forest,2.0,2.0,Herbivore,Frugivore,Insessorial,13.75,45.52,28.01,116.78,2159328.24,245.0,0.0,2300.0,2300.0,Forest,Herbivore,PL,No,Frugivore,True,True
AVIBASE-00242897,10.725,10.63333,,6.175,6.0,,2.625,2.56667,,3.1,3.1,,11.55,11.83333,,49.5,48.66667,,10.0,9.7,,39.5,38.96667,,20.2,19.93333,,26.25,26.33333,,4.0,0.0,3.0,7.6,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-4.11,0.04,-2.02,132.99,97817.39,7.63333,0.0,1500.0,1500.0,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-002445CB,38.82222,39.0,38.6,18.825,18.95,18.7,9.28,9.0,9.7,18.38,18.2,18.65,54.18889,52.82,55.9,321.44444,324.4,317.75,36.45,38.325,34.575,286.9375,290.7,283.175,11.2125,11.625,10.8,366.81111,363.9,370.45,9.0,4.0,5.0,965.0,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-11.06,11.59,1.55,16.15,3896093.97,964.75,0.0,2700.0,2700.0,Forest,Herbivore,PL,No,Frugivore,True,True
AVIBASE-0037A14F,11.72857,12.06,10.9,5.675,5.95,5.4,4.3125,4.51667,3.7,4.1,4.08,4.15,19.42857,20.04,17.9,59.25,59.83333,57.5,10.4625,10.66667,9.85,48.7875,49.16667,47.65,17.625,17.78333,17.15,41.125,40.16667,44.0,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,11.8125,750.0,2000.0,2750.0,Forest,Carnivore,HC,No,Invertivore,True,True
AVIBASE-0039BCC0,14.34,13.95,14.6,11.525,11.7,11.35,7.34,7.5,7.23333,7.54,7.9,7.3,20.08,21.4,19.2,107.2,112.0,104.0,36.775,38.05,35.5,71.475,73.95,69.0,33.95,33.95,33.95,67.0,68.5,66.0,5.0,3.0,2.0,31.3,Updated_literature,NO,Desert,3.0,2.0,Herbivore,Granivore,Terrestrial,27.31,36.76,32.2,93.82,980500.67,31.3,3500.0,1700.0,5200.0,Grassland,Herbivore,"CR,CP,BU",No,Granivore,True,True
AVIBASE-003BE0C5,87.54,83.6,89.25,66.15,63.7,68.6,9.26,8.9,9.7,13.06,12.35,13.2,64.76,62.35,65.95,201.2,191.0,195.0,58.825,57.5,60.15,134.175,133.5,134.85,30.425,30.05,30.8,61.5,59.5,63.5,5.0,2.0,2.0,321.0,Dunning,NO,Wetland,1.0,1.0,Carnivore,Aquatic predator,Terrestrial,-37.8,34.13,10.74,113.76,6677261.29,314.0,0.0,1200.0,1200.0,Wetland,Carnivore,PL,No,Omnivore,True,True
